Event	Record	Nation	Date	Venue
60 m	7.00	Netherlands	23 February 1986	1986 Madrid
400 m	49.59	Czechoslovakia	7 March 1982	1982 Milano
800 m	1:55.82	Slovenia	3 March 2002	2002 Wien
1500 m	4:02.54	Romania	3 March 1985	1985 Piraeus
3000 m	8:39.49	Portugal	9 March 1996	1996 Stockholm
60 m hurdles	7.74	Soviet Union	4 March 1990	1990 Glasgow
High jump	2.05 m	Belgium	3 March 2007	2007 Birmingham
Pole vault	4.90 m	Russia	6 March 2005	2005 Madrid
Long jump	7.30 m	East Germany	5 March 1988	1988 Budapest
Triple jump	15.16 m	United Kingdom	28 February 1998	1998 Valencia
Shot put	21.46 m	Czechoslovakia	13 March 1977	1977 San Sebastián
Pentathlon	4948 pts	Sweden	5 March 2005	2005 Madrid
4 x 400 m relay	3:27.56	Great Britain	3 March 2013	2013 Gothenburg
