Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
エラいところに嫁いでしまった!	Erai Tokoro ni Totsuide Shimatta!	TV Asahi	9	12.8%
演歌の女王	Enka no Joou	NTV	10	9.1%
華麗なる一族	Karei-naru Ichizoku	TBS	10	27.15%
きらきら研修医	Kirakira Kenshuui	TBS	11	9.38%
花より男子2（リターンズ）	Hana Yori Dango 2 (Returns)	TBS	11	21.7%
今週、妻が浮気します	Konshu, Tsuma ga Uwakishimasu	Fuji TV	11	10.15%
東京タワー ～オカンとボクと、時々、オトン～	Tokyo Tower ~Okan to Boku to, Tokidoki, Oton~	Fuji TV	11	14.9%
拝啓、父上様	Haikei, Chichiue-sama	Fuji TV	11	13.19%
ハケンの品格	Haken no Hinkaku	NTV	10	20.1%
ヒミツの花園	Himitsu no Hanazono	Fuji TV	11	12.41%
わるいやつら	Waruiyatsura	TV Asahi	8	9.4%
