Week	Date	Opponent	Result	Attendance
1	September 25, 1960	Cleveland Browns	L 24–41	56,303
2	September 30, 1960	at Dallas Cowboys	W 27–25	18,500
3	October 9, 1960	St. Louis Cardinals	W 31–27	33,701
4	October 16, 1960	Detroit Lions	W 28–10	38,065
5	October 23, 1960	at Cleveland Browns	W 31–29	64,850
6	Bye	Bye	Bye	Bye
7	November 6, 1960	Pittsburgh Steelers	W 34–7	58,324
8	November 13, 1960	Washington Redskins	W 19–13	39,361
9	November 20, 1960	at New York Giants	W 17–10	63,571
10	November 27, 1960	New York Giants	W 31–23	60,547
11	December 4, 1960	at St. Louis Cardinals	W 20–6	21,358
12	December 11, 1960	at Pittsburgh Steelers	L 21-27	22,101
13	December 18, 1960	at Washington Redskins	W 38–28	20,558
