Stadium	Capacity	+Standing Room/Expanded seats	Location	Playing surface	Team(s)	Opened
FedExField	85,000	85,000	Landover , Maryland	Bermuda Grass (Latitude 36)	Washington Redskins	1997
MetLife Stadium	82,566	82,566	East Rutherford , New Jersey	UBU-Intensity Series- S5-M Synthetic Turf	New York Giants New York Jets	2010
Lambeau Field	80,750	80,750	Green Bay , Wisconsin	Desso GrassMaster	Green Bay Packers	1957
AT&T Stadium	80,000	105,121	Arlington , Texas	Matrix RealGrass artificial turf	Dallas Cowboys	2009
Arrowhead Stadium	76,416	76,416	Kansas City , Missouri	Grass	Kansas City Chiefs	1972
Sports Authority Field at Mile High	76,125	77,160	Denver , Colorado	Desso GrassMaster	Denver Broncos	2001
Sun Life Stadium	75,540	80,120	Miami Gardens , Florida	Prescription Athletic Turf (Natural Grass)	Miami Dolphins	1987
Bank of America Stadium	73,778	74,113	Charlotte , North Carolina	Grass	Carolina Panthers	1996
Mercedes-Benz Superdome	73,208	76,468	New Orleans , Louisiana	UBU-Intensity Series- S5-M Synthetic Turf	New Orleans Saints	1975
FirstEnergy Stadium	73,200	73,200	Cleveland , Ohio	Kentucky Bluegrass	Cleveland Browns	1999
Ralph Wilson Stadium	73,079	73,079	Orchard Park , New York	A-Turf Titan	Buffalo Bills	1973
Georgia Dome	71,228	75,624	Atlanta , Georgia	FieldTurf	Atlanta Falcons	1992
Reliant Stadium	71,054	71,738	Houston , Texas	419 Tifway Bermuda Grass	Houston Texans	2002
M&T Bank Stadium	71,008	74,320	Baltimore , Maryland	Sportexe Momentum Turf	Baltimore Ravens	1998
Qualcomm Stadium	70,561	70,561	San Diego , California	Grass	San Diego Chargers	1967
Candlestick Park	69,732	69,732	San Francisco , California	Kentucky Bluegrass	San Francisco 49ers	1960
LP Field	69,143	69,143	Nashville , Tennessee	419 Tifway Bermuda Grass	Tennessee Titans	1999
Gillette Stadium	68,756	68,756	Foxborough , Massachusetts	FieldTurf	New England Patriots	2002
Lincoln Financial Field	68,532	69,144	Philadelphia , Pennsylvania	Desso GrassMaster	Philadelphia Eagles	2003
EverBank Field	67,246	76,867	Jacksonville , Florida	419 Tifway Bermuda Grass	Jacksonville Jaguars	1995
CenturyLink Field	67,000	72,000	Seattle , Washington	FieldTurf	Seattle Seahawks	2002
Edward Jones Dome	66,000	66,000	St. Louis , Missouri	AstroTurf GameDay Grass 3D	St. Louis Rams	1995
Raymond James Stadium	65,890	75,000	Tampa , Florida	419 Tifway Bermuda Grass	Tampa Bay Buccaneers	1998
Paul Brown Stadium	65,535	65,535	Cincinnati , Ohio	UBU-Intensity Series- S5-M Synthetic Turf	Cincinnati Bengals	2000
Heinz Field	65,050	66,662	Pittsburgh , Pennsylvania	Grass	Pittsburgh Steelers	2001
Ford Field	65,000	70,000	Detroit , Michigan	FieldTurf	Detroit Lions	2002
Mall of America Field	64,121	64,121	Minneapolis , Minnesota	UBU-Intensity Series- S5-M Synthetic Turf	Minnesota Vikings	1982
University of Phoenix Stadium	63,400	78,600	Glendale , Arizona	419 Tifway Bermuda Grass	Arizona Cardinals	2006
Lucas Oil Stadium	62,421	70,000	Indianapolis , Indiana	FieldTurf	Indianapolis Colts	2008
Soldier Field	61,500	62,871	Chicago , Illinois	Grass	Chicago Bears	1924
O.co Coliseum	53,200	64,200	Oakland , California	Grass	Oakland Raiders	1966
