Week	Date	Opponent	Result	Attendance
1	September 6, 1998	Tennessee Oilers	L 23–14	55,848
2	September 13, 1998	at Detroit Lions	W 34–28	66,354
3	September 20, 1998	Green Bay Packers	L 13–6	56,346
4	September 27, 1998	at Baltimore Ravens	L 31–24	68,154
5	Bye	Bye	Bye	Bye
6	October 11, 1998	Pittsburgh Steelers	W 25–20	59,979
7	October 18, 1998	at Tennessee Oilers	L 44–14	33,288
8	October 25, 1998	at Oakland Raiders	L 27–10	40,089
9	November 1, 1998	Denver Broncos	L 33–26	59,974
10	November 8, 1998	at Jacksonville Jaguars	L 24–11	67,040
11	November 15, 1998	at Minnesota Vikings	L 24–3	64,232
12	November 22, 1998	Baltimore Ravens	L 20–13	52,571
13	November 29, 1998	Jacksonville Jaguars	L 34–17	55,432
14	December 6, 1998	Buffalo Bills	L 33–20	54,359
15	December 13, 1998	at Indianapolis Colts	L 39–26	55,179
16	December 20, 1998	at Pittsburgh Steelers	W 25–24	52,017
17	December 27, 1998	Tampa Bay Buccaneers	L 35–0	49,826
