Number	Builder	Type	Date built	Heritage	Disposition	Notes
5	American Locomotive Company	2-8-2 T	October 1906	New for $15,371	Rebuilt in April 1913 into No. 80.	Built in Dunkirk, New York .
6	American Locomotive Company	0-6-0	August 1910	New	Sold March 1916. Presumed scrapped.	Slopeback tender
7/11	American Locomotive Company	4-6-0	April 1907	New for $13,700.	Sold for scrap 1951, scrapped 1952.	Renumbered October 1911. Passenger locomotive.
21	American Locomotive Company	4-6-0	March 1909	New for $13,200.	Scrapped March 1952.	Tender now used on B.
40	Baldwin Locomotive Works	4-6-0	July 1910	New for $13,139.	Active.	Passenger locomotive.
80	Nevada Northern	2-8-0	April 1913	Rebuilt from No. 5	Sold for scrap 1951, scrapped 1952.	Tender survives. Mixed service locomotive.
81	Baldwin Locomotive Works	2-8-0	March 1917	New for $23,700.	Stored inoperable.	Mixed service. Last ran in 1960.
90	American Locomotive Company	2-8-0	April 1908	New for $17,525.	Sold for scrap 1952.	Built in Pittsburgh . Freight locomotive.
91	American Locomotive Company	2-8-0	April 1908	New for $17,525.	Sold for scrap January 1952.	Built in Pittsburgh. Freight locomotive.
92	American Locomotive Company	2-8-0	October 1908	New for $17,585	Sold for scrap January 1952.	Built in Pittsburgh. Freight locomotive.
94	American Locomotive Company	2-8-0	January 1910	New for $15,908.	Scrapped 1951.	Built in Pittsburgh. Freight.
95	American Locomotive Company	2-8-0	May 1914	New for $16,500.	Scrapped 1951.	Built in Dunkirk. Freight.
96	American Locomotive Company	2-8-0	June 1916	New for $20,125.	Scrapped 1951.	Built in Dunkirk. Freight.
97	American Locomotive Company	2-8-0	April 1910	Bought second hand for $14,000 (1917).	Scrapped 1954	Built in Dunkirk.
