Week	Date	Opponent	Score	Result	Attendance	Record
1	Fri, June 29	at Montreal Alouettes	16–7	Win	20,202	1–0
2	Sun, July 8	vs. Calgary Stampeders	49–8	Win	25,862	2–0
3	Fri, July 13	vs. BC Lions	42–12	Loss	26,981	2–1
4	Fri, July 20	at Edmonton Eskimos	21–20	Loss	46,704	2–2
5	Sat, July 28	vs. Edmonton Eskimos	54–14	Win	26,840	3–2
6	Thurs, Aug 2	at BC Lions	21–9	Win	31,858	4–2
7	Fri, Aug 10	at Toronto Argonauts	24–13	Win	34,234	5–2
8	Sat, Aug 18	vs. Edmonton Eskimos	39–32	Win	28,800	6–2
9	Bye	Bye	Bye	Bye	Bye	Bye
10	Sun, Sept 2	vs. Winnipeg Blue Bombers	31–26	Win	28,800	7–2
11	Sun, Sept 9	at Winnipeg Blue Bombers	34–15	Loss	29,783	7–3
12	Sat, Sept 15	at Calgary Stampeders	44–22	Loss	35,650	7–4
13	Sat, Sept 22	vs. BC Lions	37–34	Loss	28,800	7–5
14	Sat, Sept 29	vs. Montreal Alouettes	33–22	Win	28,800	8–5
15	Mon, Oct 8	at Calgary Stampeders	33–21	Win	33,075	9–5
16	Sun, Oct 14	at Hamilton Tiger Cats	40–23	Win	22,167	10–5
17	Sun, Oct 21	vs. Hamilton Tiger Cats	38–11	Win	28,800	11–5
18	Fri, Oct 26	at Edmonton Eskimos	36–29 (OT)	Win	40,127	12–5
19	Sat, Nov 3	vs. Toronto Argonauts	41–13	Loss	28,800	12–6
