#	Air Date	Challenge	Winner	Test-taker	Passed?
1	18 April 2007	Pace Car Challenge	Red	N/A	N/A
2	25 April 2007	Emergency Braking	Red	Shannan	No
3	2 May 2007	Reverse Parking on a busy street	Blue	Virgilia	No
4	9 May 2007	Braking on a wet surfaces	Blue	Belinda	Yes
5	16 May 2007	Reversing through a grid of cars	Blue	Robert	Yes
6	23 May 2007	Night Driving	Red	Naida	N/A didn't sit test
7	30 May 2007	3 point turn on a hill	Blue	Virgilia	Yes
8	6 June 2007	Finding a parking spot at Paddy's Markets	Red	Naida	No
9	13 June 2007	Country Driving	Red	Shannan	N/A didn't sit test
10	20 June 2007	Map Navigation	Red	David	No
11	27 June 2007	4WD Challenge	Red	Sharni	Yes
