Res.	Record	Opponent	Method	Event	Round
Win	15–4	Miodrag Petković	Decision (unanimous)	Flawless Fighting Championship 1: The Beginning	3
Win	14–4	James Shaw	Submission (arm-triangle choke)	Indy MMA	1
Loss	13–4	Gegard Mousasi	Submission (guillotine choke)	Dream 15	1
Win	13–3	Toni Valtonen	Decision (unanimous)	Fight Festival 27	3
Win	12–3	Dave Hess	Submission (kimura)	MMA Big Show - Triple Threat	2
Loss	11–3	Jon Jones	Submission (guillotine choke)	UFC 100	2
Win	11–2	Christian Wellisch	Decision (split)	UFC 94	3
Loss	10–2	Cain Velasquez	TKO (punches)	UFC: Silva vs. Irvin	1
Loss	10–1	Andrei Arlovski	TKO (punches)	UFC 82	2
Win	10–0	Heath Herring	Decision (unanimous)	UFC Fight Night 8	3
Win	9–0	Josh Schockman	Decision (unanimous)	UFC 65	3
Win	8–0	Kristof Midoux	TKO (referee stoppage)	UFC Fight Night 6	2
Win	7–0	Pat Harmon	TKO	UFL – United Fight League	1
Win	6–0	Antoine Hayes	TKO	LOF – Legends of Fighting 6	1
Win	5–0	Jay White	KO (punch)	WEC 19	1
Win	4–0	Johnathan Ivey	TKO	LOF – Legends of Fighting 4	1
Win	3–0	Anthony Ferguson	TKO	LOF – Revolution	1
Win	2–0	Paul Bowers	TKO	IFC – Integrated Fighting Classic 3	1
Win	1–0	Chris Clark	TKO (referee stoppage)	MT – Madtown Throwdown 3	1
