Rank	Rider	Team	Speed	Time
1	Roy Richardson	349cc Honda	99.814mph	1:08.02.42
2	Paul Coward	348cc K4 Honda	98.136mph	1:09.12.26
3	Ryan Farquhar	347cc Honda	97.873mph	1:09.23.39
4	Rich Hawkins	348cc K4 Honda	97.743mph	1:09.29.85
5	Wattie Brown	350cc Honda	94.349mph	1:11.58.88
6	John Burrows	350cc Honda	93.929mph	1:12.18.19
7	Bob Price	350cc Honda	93.537mph	1:12.36.41
8	Paul Dobbs	350cc Aermacchi	93.161mph	1:12.53.99
9	Dave Madsen-Mygdal	349cc Honda	92.922mph	1:13.05.25
10	Alec Whitwell	349cc Honda	92.234mph	1:13.37.95
