Year	Player	Position	College/Country	WNBA Team
1997	Tina Thompson	Forward	USC	Houston Comets
1998	Margo Dydek	Center	Poland	Utah Starzz
1999	Chamique Holdsclaw	Forward	Tennessee	Washington Mystics
2000	Ann Wauters	Center	Belgium	Cleveland Rockers
2001	Lauren Jackson	Center	Australia	Seattle Storm
2002	Sue Bird	Guard	Connecticut	Seattle Storm
2003	LaToya Thomas	Forward	Mississippi State	Cleveland Rockers
2004	Diana Taurasi	Forward	Connecticut	Phoenix Mercury
2005	Janel McCarville	Center	Minnesota	Charlotte Sting
2006	Seimone Augustus	Forward	LSU	Minnesota Lynx
2007	Lindsey Harding	Guard	Duke	Phoenix Mercury (traded to Minn. )
2008	Candace Parker	Forward	Tennessee	Los Angeles Sparks
2009	Angel McCoughtry	Forward	Louisville	Atlanta Dream
2010	Tina Charles	Center	Connecticut	Connecticut Sun
2011	Maya Moore	Forward	Connecticut	Minnesota Lynx
2012	Nneka Ogwumike	Forward	Stanford	Los Angeles Sparks
2013	Brittney Griner	Center	Baylor	Phoenix Mercury
