Edition	Round	Date	Against	Surface	Opponent	W–L	Result
2002 Davis Cup Europe/Africa Group I	QF	12–14 July 2002	Belarus	Carpet	Alexander Shvec	Loss	2–6, 6–7 (4–7)
2002 Davis Cup Europe/Africa Group I	GI Play-Offs	20–22 September 2002	Italy	Carpet	Davide Sanguinetti	Loss	3–6, 2–6, 1–6
2003 Davis Cup Europe/Africa Group I	1R	4–6 April 2003	Monaco	Clay	Emmanuel Heussner	Loss	2–6, 4–6
2003 Davis Cup Europe/Africa Group I	QF	11–13 July 2003	South Africa	Hard	Wesley Moodie	Loss	3–6, 4–6, 6–1, 6–7 (7–9)
2003 Davis Cup Europe/Africa Group I	QF	11–13 July 2003	South Africa	Hard	Rik de Voest	Loss	1–6, 4–6
2004 Davis Cup Europe/Africa Group II	1R	9–11 April 2004	Tunisia	Hard	Haithem Abid	Win	7–6 (7–5) , 6–1, 4–6, 6–2
2004 Davis Cup Europe/Africa Group II	QF	16–18 July 2004	Serbia and Montenegro	Clay	Boris Pašanski	Loss	6–3, 1–6, 6–1, 1–6, 2–6
2005 Davis Cup Europe/Africa Group II	1R	4–6 March 2005	Estonia	Carpet	Alti Vahkal	Win	3–6, 2–6, 6–2, 7–6 (7–5) , 6–4
2005 Davis Cup Europe/Africa Group II	SF	23–25 September 2005	Slovenia	Clay	Marko Tkalec	Win	7–4, 7–5
2008 Davis Cup Europe/Africa Group II	1R	11–13 April 2008	Tunisia	Clay	Slah Mbarek	Win	6–2, 6–4
2008 Davis Cup Europe/Africa Group II	SF	19–21 September 2008	Ukraine	Hard	Ivan Sergeyev	Loss	3–6, 2–6, 4–6
2009 Davis Cup Europe/Africa Group II	GII Play-Offs	10–12 July 2009	Algeria	Clay	Valentin Rahmine	Win	6–1, 6–0
2010 Davis Cup Europe/Africa Group II	1R	5–7 March 2010	Denmark	Clay	Martin Pedersen	Loss	5–7, 4–6
