No	Player	Height	Position	Year born	Current Club
4	Stepán Vrubl	1.86	Guard	1976	A Plus Brno
5	Pavel Benes	1.90	Guard	1975	Nymburk
6	Maurice Whitfield	1.86	Guard	1973	Olympiada Patras
7	Michal Kremen	2.00	Forward	1981	Nymburk
8	Lukás Kraus	2.01	Forward	1984	Liberec
9	Jiří Welsch	1.97	Guard	1980	Unicaja
10	Ladislav Sokolovsky	2.00	Forward	1977	Nymburk
11	Luboš Bartoň	2.02	Forward	1980	DKV Joventut
12	Radek Necas	2.04	Forward	1980	Nymburk
13	Petr Benda	2.04	Center	1982	Nymburk
14	Jakub Houška	2.06	Center	1982	Děčín
