Stadium	Capacity	City	Country	Tenant	Opening
Lusail National Stadium	86000	Lusail	Qatar	Qatar , 2022 FIFA World Cup	2019
Grand Stade FFR	82000	Évry	France	France national rugby union team	2017
Grand Stade de Casablanca	80000	Casablanca	Morocco	2015 Africa Cup of Nations	2014
De Nieuwe Kuip	80000	Rotterdam	Netherlands	Feyenoord	2017
Los Angeles Stadium	75000	Industry	United States	new NFL team	TBA
New Buffalo Bills Stadium	72000	Buffalo	United States	Buffalo Bills	TBA
Incheon Asiad Main Stadium	70000	Incheon	South Korea	2014 Asian Games	2014
Farmers Field	68000	Los Angeles	United States	new NFL team	TBA
New Falcons Stadium	65000	Atlanta	United States	Atlanta Falcons	2017
Vikings Stadium	65000	Minneapolis	United States	Minnesota Vikings	2016
Baku Olympic Stadium	64000	Baku	Azerbaijan	Azerbaijan national football team	2015
New Chargers Stadium	62000	San Diego	United States	San Diego Chargers	TBA
OL Land	61556	Lyon	France	Olympique Lyonnais	2013
Perth Stadium	60000	Perth	Australia	Fremantle Football Club , West Coast Eagles	2018
New Ramat Gan Stadium	60000	Ramat Gan	Israel	Israel , Maccabiah Games	2015
Stanley Park Stadium	60000	Liverpool	England	Liverpool F.C.	TBA
King Abdullah Sports City	60000	Jeddah	Saudi Arabia	Saudi Arabia	2013
Northumberland Development Project	56250	London	England	Tottenham Hotspur F.C.	2013
Amakhosi Stadium	55000	Johannesburg	South Africa	Kaizer Chiefs F.C.	TBA
Stadion Kajzerica	55000	Zagreb	Croatia	NK Dinamo Zagreb	2012
City of Birmingham Stadium	55000	Birmingham	England	Birmingham City F.C.	TBA
Stadio Franco Sensi	55000	Rome	Italy	A.S. Roma	TBA
New Singapore National Stadium	55000	Kallang	Singapore	Singapore national football team	2014
Krasnodar Stadium	50015	Krasnodar	Russia	2018 FIFA World Cup	2017
Jakarta BMW Stadium	50000	Jakarta	Indonesia	Persija Jakarta	2015
Marfin Stadium	46000	Athens	Greece	Panathinaikos FC	TBA
Kaliningrad Stadium	45015	Kaliningrad	Russia	2018 FIFA World Cup	2017
Saransk Stadium	45015	Saransk	Russia	2018 FIFA World Cup	2017
Samara Stadium	44918	Samara	Russia	2018 FIFA World Cup	2017
Nizhny Novgorod Stadium	44899	Nizhny Novgorod	Russia	2018 FIFA World Cup	2017
Moscow Region Stadium	44257	Podolsk	Russia	2018 FIFA World Cup	2017
Rostov-on-Don Stadium	43702	Rostov-on-Don	Russia	2018 FIFA World Cup	2017
New Bordeaux stadium	43000	Bordeaux	France	FC Girondins de Bordeaux	2015
EuroStadium	42000	Strasbourg	France	RC Strasbourg	2013
Toluca Stadium	40000	Toluca	Mexico	Deportivo Toluca F.C.	2017
Nuevo Estadio Azul	38418	Mexico City	Mexico	Cruz Azul	TBA
Arena 92	32000	Nanterre	France	Racing Métro 92	2014
Gamba Osaka Stadium	32000	Osaka	Japan	Gamba Osaka	2014
Cisco Field	32000	San Jose	United States	Oakland A's	TBA
Arena Banja Luka	30854	Banja Luka	Bosnia and Herzegovina	FK Borac Banja Luka	TBA
Bristol City Stadium	30000	Bristol	England	Bristol City F.C.	TBA
New Sampdoria Stadium	30000	Genoa	Italy	U.C. Sampdoria	2016
Stadion Polonii	30000	Warsaw	Poland	Polonia Warszawa	TBA
Stadion Florian Kryger	25000	Szczecin	Poland	Pogoń Szczecin	TBA
New York City FC Stadium	25000	New York	United States	New York City FC	TBA
D.C. United Stadium	24000	Washington, D.C.	United States	D.C. United	TBA
New Aberdeen Stadium	22000	Aberdeen	Scotland	Aberdeen F.C.	TBA
Stadion GKS Katowice	22000	Katowice	Poland	GKS Katowice	TBA
Gateshead F.C. new stadium	7856	Gateshead	England	Gateshead F.C.	2011
