Name	Party	Hometown	District	Term	Legislatures
Warren A. Taylor	Democratic	Fairbanks	19	1959 - 1963	First , Second
Bruce Biers Kendall	Republican	Anchorage	8	1963 - 1965	Third
Mike Gravel	Democratic	Anchorage	8	1965 - 1967	Fourth
William K. Boardman	Republican	Ketchikan	1	1967 - 1969	Fifth
Jalmar M. Kerttula	Democratic	Palmer	7	1969 - 1971	Sixth
Gene Guess	Democratic	Anchorage	8	1971 - 1973	Seventh
Tom Fink	Republican	Anchorage	8	1973 - 1975	Eighth
Mike Bradner	Democratic	Fairbanks	20	1975 - 1977	Ninth
Hugh Malone	Democratic	Kenai	13	1977 - 1979	Tenth
Terry Gardiner	Democratic	Ketchikan	1	1979 - 1981	Eleventh
Jim Duncan	Democratic	Juneau	4	1981 - 1981	Twelfth
Joe L. Hayes	Republican	Anchorage	12, 9	1981 - 1985	Twelfth , Thirteenth
Ben Grussendorf	Democratic	Sitka	3	1985 - 1989	Fourteenth , Fifteenth
Samuel R. Cotten	Democratic	Eagle River	15	1989 - 1991	Sixteenth
Ben Grussendorf	Democratic	Sitka	3	1991 - 1993	Seventeenth
Ramona L. Barnes	Republican	Anchorage	22	1993 - 1995	Eighteenth
Gail Phillips	Republican	Homer	7	1995 - 1999	Nineteenth , Twentieth
Brian S. Porter	Republican	Anchorage	20	1999 - 2003	Twenty-First , Twenty-Second
Pete Kott	Republican	Eagle River	17	2003 - 2005	Twenty-Third
John Harris	Republican	Valdez	12	2005 - 2009	Twenty-Fourth , Twenty-Fifth
Mike Chenault	Republican	Nikiski	34	2009 - present	Twenty-Sixth
