Name	Years	League	FA Cup	League Cup	Europe	Other [C ]	Total
Bobby Charlton	1956–1973	199 (606)	0 19 0 (78)	00 7 0 (24)	0 22 0 (45)	00 2 00 (5)	249 (758)
Denis Law	1962–1973	171 (309)	0 34 0 (46)	00 3 0 (11)	0 28 0 (33)	00 1 00 (5)	237 (404)
Jack Rowley	1937–1955	182 (380)	0 26 0 (42)	00 0 00 (0)	00 0 00 (0)	00 3 00 (2)	211 (424)
Wayne Rooney	2004–present	145 (286)	0 17 0 (29)	00 5 0 (15)	0 34 0 (79)	00 4 00 (7)	205 (416)
Dennis Viollet	1952–1962	159 (259)	00 5 0 (18)	00 1 00 (2)	0 13 0 (12)	00 1 00 (2)	179 (293)
George Best	1963–1974	137 (361)	0 21 0 (46)	00 9 0 (25)	0 11 0 (34)	00 1 00 (4)	179 (470)
Joe Spence	1919–1933	158 (481)	0 10 0 (29)	00 0 00 (0)	00 0 00 (0)	00 0 00 (0)	168 (510)
Ryan Giggs	1991–present	114 (664)	0 12 0 (74)	0 12 0 (40)	0 29 (152)	00 1 0 (19)	168 (949)
Mark Hughes	1983–1986 1988–1995	120 (345)	0 17 0 (46)	0 16 0 (38)	00 9 0 (33)	00 1 00 (5)	163 (467)
Paul Scholes	1994–2011 2012–2013	107 (499)	0 13 0 (49)	00 9 0 (21)	0 26 (134)	00 0 0 (15)	155 (718)
