Tournament	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	A	2R	2R	3R	2R	2R	A	1R	1R	2R	A
French Open	1R	1R	3R	4R	2R	4R	F	QF	QF	F	SF	1R	3R	A
Wimbledon	A	A	2R	A	2R	A	1R	A	A	A	A	A	1R	A
US Open	1R	1R	1R	2R	QF	3R	4R	1R	3R	3R	3R	1R	1R	A
Win–Loss	0–2	0–2	3–3	4–2	7–4	6–2	11–4	5–3	7–3	8–2	7–3	0–3	3–4	0–0
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
Tennis Masters Cup	A	A	A	A	A	A	W	A	RR	A	A	A	A	A
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	1R	2R	2R	1R	2R	W	3R	2R	2R	3R	A
Miami Masters	A	A	A	1R	2R	3R	SF	4R	2R	4R	4R	2R	A	A
Monte Carlo Masters	A	QF	3R	3R	1R	F	QF	A	QF	1R	3R	1R	2R	A
Rome Masters	2R	2R	2R	3R	1R	W	2R	SF	SF	QF	1R	2R	1R	A
Hamburg Masters	2R	A	3R	1R	F	3R	F	A	3R	2R	2R	1R	1R	A
Canada Masters	A	A	A	A	2R	A	A	A	A	A	A	A	A	A
Cincinnati Masters	A	A	A	1R	1R	2R	2R	2R	1R	A	A	1R	A	A
Madrid Masters	A	A	A	A	1R	1R	1R	3R	2R	2R	3R	2R	2R	A
Paris Masters	A	A	A	A	1R	2R	1R	2R	QF	2R	A	A	A	A
Win–Loss	2–2	4–2	5–3	4–6	8–8	18–7	12–8	7–6	17–7	8–7	8–6	3–7	4–5	0–0
Year End Ranking	86	76	22	48	23	12	3	27	8	16	19	100	114	525
