Discipline	Degree/Diploma	Total Seats	Recognised Seats	Permitted Seats
Anaesthesiology	MD	8	5	3
Biochemistry	MD	4	0	4
Dermatology , Venereology & Leprosy	MD	1	1	0
Forensic Medicine	MD	4	3	1
General Medicine	MD	14	6	8
Microbiology	MD	6	4	2
Pediatrics	MD	7	7	0
Pathology	MD	8	0	8
Pharmacology	MD	4	3	1
Physical medicine and rehabilitation	MD	1	0	1
Physiology	MD	7	5	2
Psychiatry	MD	1	0	1
Radiotherapy	MD	4	0	4
Social & Preventive Medicine	MD	5	0	5
Tuberculosis & Respiratory Diseases	MD	3	3	0
Anatomy	MD/MS	5	4	1
Obstetrics & Gynaecology	MD/MS	14	12	2
Ophthalmology	MD/MS	1	1	0
Otorhinolaryngology	MS	4	4	0
Orthopaedics	MS	4	4	0
General Surgery	MS	14	6	8
