Institution	Location	Mascot	Colors	Affiliation	9–12 enrollment	School website
Argenta-Oreana	Argenta, Illinois	Bombers	Royal Blue and Orange	Public	313	http://www.argenta-oreana.org
Central A and M	Moweaqua, Illinois	Raiders	Red and Black	Public	306	http://www.cam.k12.il.us/hs
Clinton	Clinton, Illinois	Maroons	Maroon and Gold	Public	610	http://clintonathletics.com
Maroa-Forsyth	Maroa, Illinois	Trojans	Royal Blue and Gold	Public	363	http://www.mfschools.org/high/
Meridian	Macon, Illinois	Hawks	Kelly Green, Silver and Black	Public	336	http://www.meridian.k12.il.us/
Monticello	Monticello, Illinois	Sages	Purple and Gold	Public	552	http://www.sages.us
Shelbyville	Shelbyville, Illinois	Rams	Purple and white	Public	375	http://shelbyville.k12.il.us/
St. Teresa	Decatur, Illinois	Bulldogs	Navy Blue and Orange	Private	487	http://www.st-teresahs.org/
Sullivan	Sullivan, Illinois	Redskins	Red and Black	Public	348	http://home.sullivan.k12.il.us/shs
Tuscola	Tuscola, Illinois	Warriors	Black and Gold	Public	282	http://www.tuscola.k12.il.us/
Unity	Tolono, Illinois	Rockets	Maroon and Gray	Public	479	http://www.unityrockets.com/
