Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Feb 8, 1976	Sarah Coventry Naples Classic	+2 (73-69-76=218)	1 stroke	Sandra Haynie , Judy Meister
Apr 25, 1976	Birmingham Classic	–13 (65-70-68=203)	4 strokes	Kathy Martin
May 8, 1978	Women's International	–5 (68-72-69-74=283)	4 strokes	Beth Daniel (a)
Mar 2, 1980	Sun City Classic	–13 (66-71-67-71=275)	1 stroke	M.J. Smith
Jul 5, 1981	Peter Jackson Classic	–10 (69-66-70-73=278)	1 stroke	Pat Bradley , Nancy Lopez
Aug 16, 1981	Mary Kay Classic	–18 (65-69-64=198)	11 strokes	Sandra Haynie
Sep 13, 1981	United Virginia Bank Classic	–14 (66-71-68=205)	3 strokes	Janet Alex , Sally Little
Jun 13, 1982	LPGA Championship	–9 (69-69-70-71=279)	2 strokes	JoAnne Carner
Jun 20, 1982	Lady Keystone Open	–5 (71-71-69=211)	1 stroke	Barbara Moxness , Alexandra Reinhardt
Feb 27, 1983	Tucson Conquistadores LPGA Open	–9 (72-68-67=207)	5 strokes	Amy Alcott
Jun 19, 1983	Lady Keystone Open	–11 (69-67-69=205)	1 stroke	Pat Bradley
Jul 31, 1983	U.S. Women's Open	+6 (72-73-71-74=290)	1 stroke	JoAnne Carner , Patty Sheehan
Mar 24, 1985	GNA Classic	+2 (70-73-72-75=290)	1 stroke	Amy Alcott , Pat Bradley , Barbara Moxness
Apr 19, 1987	Santa Barbara Open	–1 (74-68-73=215)	1 stroke	Jane Geddes , Ayako Okamoto
Sep 20, 1987	Safeco Classic	–11 (68-70-71-68=277)	1 stroke	Nancy Lopez
Sep 27, 1987	Konica San Jose Classic	–11 (69-71-65=205)	5 strokes	Amy Alcott
