Name	Years	Area	Authority	Decile	Roll
Ahipara School	1–8	Ahipara	State	3	203
Awanui School	1–6	Awanui	State	2	60
Bay of Islands College	9–15	Kawakawa	State	1	363
Broadwood Area School	1–15	Broadwood	State	1	104
Herekino School	1–8	Herekino	State	2	33
Horeke School	1–6	Horeke	State	2	19
Kaeo Primary School	1–6	Kaeo	State	3	116
Kaikohe Christian School	1–15	Kaikohe	State integrated	4	188
Kaikohe East School	1–6	Kaikohe	State	1	232
Kaikohe Intermediate	7–8	Kaikohe	State	1	168
Kaikohe West School	1–6	Kaikohe	State	1	398
Kaingaroa School	1–8	Kaingaroa	State	3	111
Kaitaia Abundant Life School	1–13	Kaitaia	State integrated	2	251
Kaitaia College	9–15	Kaitaia	State	2	790
Kaitaia Intermediate	7–8	Kaitaia	State	2	219
Kaitaia School	1–6	Kaitaia	State	1	250
Karetu School	1–8	Karetu	State	3	49
Kawakawa Primary School	1–8	Kawakawa	State	1	240
Kerikeri High School	7–15	Kerikeri	State	7	1424
Kerikeri Primary School	1–6	Kerikeri	State	7	579
Kohukohu School	1–8	Kohukohu	State	2	64
Mangamuka School	1–6	Mangamuka	State	2	14
Mangonui School	1–6	Mangonui	State	3	156
Maromaku School	1–8	Maromaku	State	3	57
Matauri Bay School	1–6	Matauri Bay	State	3	52
Matihetihe School	1–8	Matihetihe	State	1	26
Moerewa School	1–8	Moerewa	State	1	204
Motatau School	1–8	Motatau	State	3	28
Ngataki School	1–8	Ngataki	State	2	30
Northland College	9–15	Kaikohe	State	1	257
Ohaeawai School	1–6	Ohaeawai	State	2	164
Okaihau College	7–15	Okaihau	State	2	454
Okaihau School	1–6	Okaihau	State	4	151
Omanaia School	1–8	Omanaia	State	3	46
Opononi Area School	1–15	Opononi	State	2	161
Opua School	1–8	Opua	State	7	116
Oromahoe School	1–8	Oromahoe	State	6	47
Oruaiti School	1–8	Oruaiti	State	4	74
Oturu School	1–8	Kaitaia	State	1	146
Paihia School	1–8	Paihia	State	4	186
Pakaraka School	1–8	Pakaraka	State	2	70
Pamapuria School	1–6	Pamapuria	State	2	167
Paparore School	1–6	Awanui	State	3	129
Peria School	1–8	Peria	State	2	43
Pompallier School	1–8	Kaitaia	State integrated	3	154
Pukenui School	1–8	Houhora	State	3	90
Pukepoto School	1–6	Kaitaia	State	2	54
Rawene School	1–8	Rawene	State	2	103
Riverview School	1–6	Kerikeri	State	8	388
Russell School	1–8	Russell	State	6	106
Springbank School	1–15	Kerikeri	Private	7	182
Taipa Area School	1–15	Taipa-Mangonui	State	3	330
Tautoro School	1–8	Tautoro	State	1	99
Te Hapua School	1–8	Te Hapua	State	1	26
Te Kao School	1–8	Te Kao	State	2	30
Te Kura o Hata Maria o Pawarenga	1–8	Pawarenga	State integrated	1	43
Te Kura o Hato Hohepa Te Kamura	1–8	Whangaroa Harbour	State integrated	1	31
Te Kura o Waikare	1–8	Waikare	State	1	49
Te Kura Taumata o Panguru	1–15	Panguru	State	2	58
Te Rangi Aniwaniwa	1–15	Awanui	State	1	124
Te Tii School	1–8	Te Tii	State	3	12
Te Kura Kaupapa Maori o Kaikohe	1–15	Kaikohe	State	1	129
Te Kura Kaupapa Maori o Pukemiro	1–8	Pukepoto	State	1	102
Te Kura Kaupapa Maori o Rangiawhia	1–8	Whatuwhiwhi	State	1	42
Te Kura Kaupapa Maori o Taumarere	1–8	Taumarere	State	1	107
Te Kura Kaupapa Maori o Te Tonga o Hokianga	1–8	Whirinaki	State	2	110
Te Kura Kaupapa Maori o Whangaroa	1–8	Matauri Bay	State	2	103
Totara North School	1–6	Whangaroa Harbour	State	3	40
Umawera School	1–6	Umawera	State	2	35
Waiharara School	1–8	Waiharara	State	3	25
Waima School	1–8	Waima	State	1	40
Whangaroa College	7–15	Kaeo	State	2	114
