Athlete	Country	Run 1	Run 2	Run 3
Martins Dukurs	Latvia	51.18	50.67	50.94
Alexander Tretiakov	Russia	51.43	51.14	51.62
Frank Rommel	Germany	51.71	51.14	51.53
Sandro Stielicke	Germany	51.42	51.13	51.87
Michi Halilović	Germany	51.29	51.13	51.68
Kristan Bromley	United Kingdom	51.48	51.23	51.85
Matthew Antoine	United States	51.92	51.50	51.98
Alexander Kröckel	Germany	51.79	51.57	52.13
Tomass Dukurs	Latvia	51.75	51.45	52.25
Sergey Chudinov	Russia	51.83	51.65	52.14
Jon Montgomery	Canada	51.74	51.43	52.53
Ben Sandford	New Zealand	51.99	51.63	52.42
Michael Douglas	Canada	52.23	51.48	52.50
Chris Type	United Kingdom	52.23	51.47	52.50
John Fairbairn	Canada	51.96	51.52	52.93
Andy Wood	United Kingdom	52.24	51.57	52.66
John Daly	United States	52.08	52.30	52.39
Anže Šetina	Slovenia	52.25	52.34	52.70
Hiroatsu Takahashi	Japan	51.83	52.17	52.89
Pascal Oswald	Switzerland	53.63	51.78	52.25
Lukas Kummer	Switzerland	52.50	52.30	52.88
Matthias Guggenberger	Austria	52.48	52.61	53.07
John Farrow	Australia	52.42	52.53	53.34
Maurizio Oioli	Italy	52.74	52.71	53.00
Kyle Tress	United States	52.97	52.47	53.02
Ander Mirambell	Spain	52.86	52.49	53.18
Yuki Sasahara	Japan	53.49	52.66	53.10
Giovanni Mulassano	Italy	53.29	53.13	53.90
Jakub Holoubek	Czech Republic	54.02	53.37	53.64
Emilio Strapasson	Brazil	54.17	54.00	53.58
Dorin Dumitru Velicu	Romania	55.13	52.55	54.20
Matt Skolnik	Slovakia	54.08	53.36	54.57
Bradley Chalupski	Israel	54.56	54.34	54.88
Lee Webster	South Africa	54.69	54.76	54.72
