Year	Winner	Score	Opponent	Location
1991	Utah	86-69	Creighton	Arena-Auditorium ( Laramie, Wyoming )
1992	Creighton	74-63	Utah	Salt Lake City, Utah
1993	BYU	53-50	Utah	Delta Center ( Salt Lake City, Utah )
1994	San Diego State	51-47	Colorado State	Delta Center ( Salt Lake City, Utah )
1995	Utah	64-57	San Diego State	The Pit ( Albuquerque, New Mexico )
1996	Colorado State	72-65	New Mexico	The Pit ( Albuquerque, New Mexico )
1997	San Diego State	56-50	Utah	Thomas & Mack Center ( Las Vegas, Nevada )
1998	New Mexico	69-48	Rice	Thomas & Mack Center ( Las Vegas, Nevada )
1999	SMU	65-49	Colorado State	Thomas & Mack Center ( Las Vegas, Nevada )
2000	Rice	71-67	SMU	Selland Arena ( Fresno, California )
2001	TCU	66-58	Hawaii	Reynolds Center ( Tulsa, Oklahoma )
2002	Louisiana Tech	53-50	Hawaii	Reynolds Center ( Tulsa, Oklahoma )
2003	Louisiana Tech	89-57	Fresno State	Reynolds Center ( Tulsa, Oklahoma )
2004	Louisiana Tech	76-52	Rice	Save Mart Center ( Fresno, California )
2005	Rice	86-66	Louisiana Tech	Lawlor Events Center ( Reno, Nevada )
2006	Louisiana Tech	63-39	New Mexico State	Lawlor Events Center ( Reno, Nevada )
2007	Boise State	49-39	New Mexico State	Pan American Center ( Las Cruces, New Mexico )
2008	Fresno State	72-56	New Mexico State	Pan American Center ( Las Cruces, New Mexico )
2009	Fresno State	56-49	Nevada	Lawlor Events Center ( Reno, Nevada )
2010	Louisiana Tech	68-66	Fresno State	Lawlor Events Center ( Reno, Nevada )
2011	Fresno State	78-76	Louisiana Tech	Orleans Arena ( Las Vegas, Nevada )
2012	Fresno State	89-61	Louisiana Tech	Orleans Arena ( Las Vegas, Nevada )
