Season	Competition	Round	Opponent	Home	Away	Aggregate
1961–62	Inter-Cities Fairs Cup	First round	Lyon	5–2	2–4	7–6
1961–62	Inter-Cities Fairs Cup	Second round	Roma	4–0	0–1	4–1
1961–62	Inter-Cities Fairs Cup	Quarter final	Barcelona	3–2	0–2	3–4
1963–64	Inter-Cities Fairs Cup	First round	DOS Utrecht	4–1	4–1	8–2
1963–64	Inter-Cities Fairs Cup	Second round	Köln	1–2	2–3	3–5
1992–93	UEFA Cup	First round	Spora Luxembourg	8–1	2–1	10–2
1992–93	UEFA Cup	Second round	Kaiserslautern	2–2	1–3	3–5
1995–96	UEFA Intertoto Cup	Group Stage	FC Basel	N/A	0–1	N/A
1995–96	UEFA Intertoto Cup	Group Stage	Górnik Zabrze	3–2	N/A	N/A
1995–96	UEFA Intertoto Cup	Group Stage	Karlsruher SC	N/A	1–1	N/A
1995–96	UEFA Intertoto Cup	Group Stage	AGF Aarhus	3–1	N/A	N/A
