Actor	Character	Soap Opera	Years	Duration
Agnieszka Kotulanka	Krystyna Lubicz	Klan	1997—	17 years
Tomasz Stockinger	Paweł Lubicz	Klan	1997—	17 years
Barbara Bursztynowicz	Elżbieta Chojnicka	Klan	1997—	17 years
Andrzej Grabarczyk	Jerzy Chojnicki	Klan	1997—	17 years
Izabela Trojanowska	Monika Ross	Klan	1997—	17 years
Małgorzata Ostrowska-Królikowska	Grażyna Lubicz	Klan	1997—	17 years
Paulina Holtz	Agnieszka Lubicz	Klan	1997—	17 years
Kaja Paschalska	Aleksandra Lubicz	Klan	1997—	17 years
Joanna Żółkowska	Anna Surmacz	Klan	1997—	17 years
Tomasz Bednarek	Jacek Borecki	Klan	1997—	17 years
Jacek Borkowski	Piotr Rafalski	Klan	1997—	17 years
Jerzy Kamas	Stefan Ziętecki	Klan	1997—	17 years
Piotr Swend	Maciej Lubicz	Klan	1997—	17 years
Zofia Merle	Stefania Wróbel-Malec	Klan	1998—	16 years
Maria Winiarska	Alicja Marczyńska	Klan	1998—	16 years
Jan Piechociński	Feliks Nowak	Klan	1998—	16 years
Piotr Cyrwus	Ryszard Lubicz	Klan	1997–2012	15 years
Agnieszka Kaczorowska	Bożena Lubicz	Klan	1999—	15 years
Renata Pękul	Renata Zaburzańska	Klan	1999—	15 years
Andrzej Strzelecki	Tadeusz Koziełło	Klan	1999—	15 years
Małgorzata Foremniak	Zofia Stankiewicz-Burska	Na dobre i na złe	1999—	15 years
Dariusz Jakubowski	Dariusz Wójcik	Na dobre i na złe	1999—	15 years
Marian Opania	Tadeusz Zybert	Na dobre i na złe	1999—	15 years
Agnieszka Wosińska	Dorota Lubicz	Klan	1997–2011	14 years
Dorota Naruszewicz	Beata Borecka	Klan	1997–2011	14 years
Anna Powierza	Czesława Kurzawska	Klan	2000—	14 years
Katarzyna Tlałka	Kinga Kuczyńska	Klan	2000—	14 years
Kazimiera Utrata	Stanisława Dorobczuk	Klan	2000—	14 years
Mirosław Jękot	Antoni Zaburzański	Klan	2000—	14 years
Dariusz Lewandowski	Dariusz Kurzawski	Klan	2000—	14 years
Andrzej Precigs	Julian Deptuła	Klan	2000—	14 years
Teresa Lipowska	Barbara Mostowiak	M jak miłość	2000—	14 years
Witold Pyrkosz	Lucjan Mostowiak	M jak miłość	2000—	14 years
Joanna Koroniewska	Małgorzata Chodakowska	M jak miłość	2000—	14 years
Kacper Kuszewski	Marek Mostowiak	M jak miłość	2000—	14 years
Dominika Ostałowska	Marta Budzyńska	M jak miłość	2000—	14 years
Rafał Mroczek	Paweł Zduński	M jak miłość	2000—	14 years
Marcin Mroczek	Piotr Zduński	M jak miłość	2000—	14 years
Katarzyna Cichopek	Kinga Filarska	M jak miłość	2000—	14 years
Piotr Garlicki	Stefan Tretter	Na dobre i na złe	2000—	14 years
Ewa Kania	Zofia Borecka	Klan	1998–2002, 2005—	13 years
Andrzej Precigs	Zbigniew Filarski	M jak miłość	2001—	13 years
Hanna Mikuć	Krystyna Filarska-Marszałek	M jak miłość	2001—	13 years
Sławomir Holland	Aspirant Staszek	M jak miłość	2001—	13 years
Bartosz Opania	Witold Latoszek	Na dobre i na złe	2001—	13 years
Grażyna Zielińska	Maria Zbieć	Na dobre i na złe	2001—	13 years
Marcin Troński	Bogdan Sawicki	Klan	1998–2007, 2009–2012	12 years
Włodzimierz Matuszak	Antoni Wójtowicz	Plebania	2000–2012	12 years
Katarzyna Łaniewska	Józefina Lasek	Plebania	2000–2012	12 years
Bernadetta Machała-Krzemińska	Krystyna Cieplak	Plebania	2000–2012	12 years
Janusz Michałowski	Jakub Blumental	Plebania	2000–2012	12 years
Dariusz Kowalski	Janusz Tracz	Plebania	2000–2012	12 years
Barbara Zielińska	Zofia Grzyb	Plebania	2000–2012	12 years
Maciej Wilewski	Franciszek "Osa" Osówka	Plebania	2000–2012	12 years
Stanisław Górka	Zbigniew Sroka	Plebania	2000–2012	12 years
Maciej Damięcki	Jan Grzyb	Plebania	2000–2012	12 years
Wojciech Błach	Jerzy Tosiek	Plebania	2000–2012	12 years
Laura Łącz	Gabriela Wilczyńska	Klan	2002—	12 years
Krystian Domagała	Mateusz Mostowiak	M jak miłość	2002—	12 years
Jacek Lenartowicz	Jan Zawadzki	M jak miłość	2002—	12 years
Maja Barełkowska	Barbara	Klan	2000–2011	11 years
Wojciech Dąbrowski	Piotr Wojciechowski	Plebania	2000–2011	11 years
Sylwia Wysocka	Barbara Wojciechowska	Plebania	2000–2011	11 years
Jerzy Rogalski	Antoni Tosiek	Plebania	2000–2011	11 years
Joanna Pietrońska	Hanna Piecuch	Plebania	2000–2011	11 years
Michalina Robakiewicz	Kamila Chojnicka	Klan	2003—	11 years
Anna Mucha	Magdalena Marszałek	M jak miłość	2003—	11 years
Stanisław Banasiuk	Andrzej Kuczyński	Klan	2001–2011	10 years
Stanisław Jaskułka	Zenon Walencik	Plebania	2000–2010	10 years
Radosław Popłonikowski	Józef Piecuch	Plebania	2000–2010	10 years
Jakub Tolak	Daniel Ross	Klan	1998–2008	10 years
Zygmunt Kęstowicz	Władysław Lubicz	Klan	1997–2007	10 years
