Driver	Team	Laps	Time/Retired	Grid	Points
Patrick Carpentier	Team Player's	87	1:48:11.023	1	22
Bruno Junqueira	Newman/Haas Racing	87	+0.8 secs	2	17
Paul Tracy	Team Player's	87	+28.6 secs	3	14
Michel Jourdain, Jr.	Team Rahal	87	+40.8 secs	13	12
Mario Haberfeld	Mi-Jack Conquest Racing	87	+42.1 secs	6	10
Oriol Servià	Patrick Racing	87	+1:00.2	10	8
Adrian Fernández	Fernández Racing	87	+1:01.4	5	6
Jimmy Vasser	American Spirit Team Johansson	87	+1:01.8	8	5
Tiago Monteiro	Fittipaldi-Dingman Racing	86	+ 1 Lap	15	4
Mario Domínguez	Herdez Competition	86	+ 1 Lap	11	3
Bryan Herta	PK Racing	86	+ 1 Lap	12	2
Ryan Hunter-Reay	American Spirit Team Johansson	86	+ 1 Lap	17	1
Joël Camathias	Dale Coyne Racing	85	+ 2 Laps	18	0
Alex Tagliani	Rocketsports Racing	85	+ 2 Laps	14	0
Roberto Moreno	Herdez Competition	85	+ 2 Laps	9	0
Geoff Boss	Dale Coyne Racing	83	Mechanical	19	0
Sébastien Bourdais	Newman/Haas Racing	77	Mechanical	4	0
Darren Manning	Walker Racing	12	Mechanical	7	0
Rodolfo Lavín	Walker Racing	10	Mechanical	16	0
