Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Barrow	42	10	3	92	38	+54	97
2	Matlock Town	42	8	11	72	48	+24	77
3	South Liverpool	42	11	9	55	44	+11	77
4	Grantham	42	8	14	64	51	+13	68
5	Burton Albion	42	13	12	61	47	+14	64
6	Macclesfield Town	42	10	14	65	55	+10	64
7	Rhyl	42	6	17	64	55	+11	63
8	Horwich RMI	42	9	15	64	59	+5	63
9	Gainsborough Trinity	42	11	14	82	66	+16	62
10	Stafford Rangers	42	17	10	65	52	+13	62
11	Hyde United	42	8	17	61	63	−2	59
12	Marine	42	10	16	63	68	−5	58
13	Witton Albion	42	14	14	64	57	+7	56
14	Chorley	42	11	17	68	65	+3	53
15	Workington	42	9	19	53	57	−4	51
16	Southport	42	8	20	57	74	−17	50
17	Worksop Town	42	8	21	57	74	−17	47
18	Goole Town	42	10	20	59	80	−21	46
19	Morecambe	42	12	19	59	75	−16	45
20	Oswestry Town	42	8	23	66	97	−31	41
21	Buxton	42	6	25	52	91	−39	39
22	Mossley	42	9	24	47	74	−33	36 2
