Round	Pick	Overall	Name	Position	College
1	9	9	Don Bosseler	FB	Miami (FL)
2	8	21	Joe Walton	E	Pittsburgh
3	8	33	Ed Sutton	HB	North Carolina
4	3	40	Jim Podoley	HB	Central Michigan
4	8	45	Vince Scorsone	G	Pittsburgh
6	8	69	J. T. Frankenberger	OT	Kentucky
7	8	81	Wally Merz	OT	Colorado
8	8	93	Paul Lopata	E	Central Michigan
9	8	105	Galen Laack	G	Pacific [h ]
10	8	117	Don Dobrino	RB	Iowa
11	8	129	Dick Foster	OT	Idaho
12	8	141	Wade Mitchell	QB	Georgia Tech
13	8	153	Claude Austin	RB	George Washington [b ]
14	8	165	George Rice	OT	Wofford
15	8	177	Brad Bomba	E	Indiana
16	8	189	Joe Brodsky	RB	Florida
17	8	201	Fred Brock	RB	Wheaton
18	8	213	Ed Sakach	G	George Washington [b ]
19	8	225	John Bauer	RB	Villanova
20	8	237	Buddy Frick	E	South Carolina
21	8	249	Sam Owen	RB	Georgia Tech
22	8	261	Ed Voytek	G	Purdue
23	8	273	Al Viola	G	Northwestern
24	8	285	Bob Jennings	C	Furman
25	8	297	Dick Sassels	OT	Catawba
26	8	309	Paul Rotenberry	RB	Georgia Tech
27	8	321	Ormand Anderson	OT	Georgia Tech
28	8	333	Guy Martin	RB	Colgate
29	8	345	George Benedict	E	Springfield
30	7	356	Art Luppino	RB	Arizona
