Player	Nationality	Position	From	School/Country
Radmanovic, Vladimir Vladimir Radmanović	Serbia	Forward	2006	FR Yugoslavia , now Serbia
, Kurt Rambis	United States	Forward	1981; 1993	Santa Clara
Theo Ratliff Category:Articles with hCards	United States	Center	2010	Wyoming
, Hub Reed	United States	Forward/Center	1963	Oklahoma City
, J.R. Reid	United States	Forward/Center	1999	North Carolina
, Glen Rice	United States	Forward	1999	Michigan
, Mitch Richmond	United States	Guard	2001	Kansas State
, Isaiah Rider	United States	Guard	2000	UNLV
Pat Riley Category:Articles with hCards	United States	Guard	1970	Kentucky
, David Rivers	United States	Guard	1988	Notre Dame
, Rick Roberson	United States	Forward/Center	1969	Cincinnati
, Fred Roberts	United States	Forward	1995	BYU
, Marv Roberts	United States	Forward/Center	1976	Utah State
, Cliff Robinson	United States	Forward	1991	USC
, Flynn Robinson	United States	Guard	1971	Wyoming
, Rumeal Robinson	Jamaica	Guard	1996	Michigan
, Dave Robisch	United States	Forward/Center	1977	Kansas
, John Roche	United States	Guard	1975	South Carolina
Dennis Rodman *	United States	Forward	1999	Southeastern Oklahoma
, Sean Rooks	United States	Forward/Center	1996	Arizona
, Kareem Rush	United States	Guard	2002	Missouri
, Bryon Russell	United States	Guard/Forward	2003	Long Beach State
, Cazzie Russell	United States	Guard/Forward	1974	Michigan
