Place	Player	Country	Score	To par
1	Wayne Grady	Australia	68-67=135	–9
T2	Payne Stewart	United States	72-65=137	–7
T2	Tom Watson	United States	69-68=137	–7
T4	David Feherty	Northern Ireland	71-67=138	–6
T4	Eduardo Romero	Argentina	68-70=138	–6
T4	Wayne Stephens	England	66-72=138	–6
T7	Mark Calcavecchia	United States	71-68=139	–5
T7	Derrick Cooper	England	69-70=139	–5
T7	Fred Couples	United States	68-71=139	–5
T7	Mark James	England	69-70=139	–5
T7	Mark McCumber	United States	71-68=139	–5
T7	Greg Norman	Australia	69-70=139	–5
T7	Steve Pate	United States	69=70=139	–5
T7	Scott Simpson	United States	73-66=139	–5
