Series	Season	Host	Tests	England	West Indies	Draw	Series result	Holder at the end of the series
1	1963	England	5	1	3	1	West Indies	West Indies
2	1966	England	5	1	3	1	West Indies	West Indies
3	1967–68	West Indies	5	1	0	4	England	England
4	1969	England	3	2	0	1	England	England
5	1973	England	3	0	2	1	West Indies	West Indies
6	1973–74	West Indies	5	1	1	3	Series drawn	West Indies
7	1976	England	5	0	3	2	West Indies	West Indies
8	1980	England	5	0	1	4	West Indies	West Indies
9	1980–81	West Indies	4	0	2	2	West Indies	West Indies
10	1984	England	5	0	5	0	West Indies	West Indies
11	1985–86	West Indies	5	0	5	0	West Indies	West Indies
12	1988	England	5	0	4	1	West Indies	West Indies
13	1989–90	West Indies	4	1	2	1	West Indies	West Indies
14	1991	England	5	2	2	1	Series drawn	West Indies
15	1993–94	West Indies	5	1	3	1	West Indies	West Indies
16	1995	England	6	2	2	2	Series drawn	West Indies
17	1997–98	West Indies	6	1	3	2	West Indies	West Indies
18	2000	England	5	3	1	1	England	England
19	2003–04	West Indies	4	3	0	1	England	England
20	2004	England	4	4	0	0	England	England
21	2007	England	4	3	0	1	England	England
22	2009	West Indies	5	0	1	4	West Indies	West Indies
23	2009	England	2	2	0	0	England	England
Total	–	–	105	28	43	34	–	–
