Date	Visitor	Score	Home	Leading scorer	Attendance	Record
1 December 2007	Mavericks	W 112–108 (OT)	Hornets	Chris Paul (33)	12,223	12–6
5 December 2007	Pistons	L 76–91 (OT)	Hornets	Peja Stojakovic (19)	10,312	12–7
7 December 2007	Grizzlies	W 118–116 (OT)	Hornets	Chris Paul (43)	10,386	13–7
9 December 2007	SuperSonics	W 91–88 (OT)	Hornets	Chris Paul (29)	10,793	14–7
12 December 2007	Hornets	L 99–105 (OT)	Nuggets	Chris Paul (30)	13,337	14–8
14 December 2007	Hornets	L 80–89 (OT)	Mavericks	Chris Paul (21)	20,071	14–9
15 December 2007	Suns	W 101–98 (OT)	Hornets	Two-way tie (21)	13,705	15–9
17 December 2007	Hornets	L 88–96 (OT)	Trail Blazers	David West (31)	15,183	16–9
19 December 2007	Hornets	W 107–93 (OT)	SuperSonics	Morris Peterson (25)	11,968	17–9
22 December 2007	Timberwolves	W 110–76 (OT)	Hornets	David West (22)	11,257	18–9
26 December 2007	Hornets	W 116–98 (OT)	Grizzlies	Chris Paul (40)	11,189	19–9
28 December 2007	Hornets	W 99–85 (OT)	Bobcats	David West (20)	18,237	20–9
29 December 2007	Cavaliers	W 86–76 (OT)	Hornets	David West (27)	17,623	21–9
31 December 2007	Raptors	L 92–97 (OT)	Hornets	David West (33)	11,444	21–10
