Name	Country	Seasons	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Kenny Acheson Category:Articles with hCards	United Kingdom	1986	0	1	0	0	0	0	0
Rui Águas Category:Articles with hCards	Portugal	1997 – 1998	0	16	0	0	0	1	7
Laurent Aïello Category:Articles with hCards	France	1991 – 1992	0	20 (19)	1	0	1	0	7
Antonio Albacete Category:Articles with hCards	Spain	1987	0	1 (0)	0	0	0	0	0
Christijan Albers Category:Articles with hCards	Netherlands	2000	0	10 (9)	0	0	0	0	0
Mark Albon Category:Articles with hCards	United Kingdom	1993	0	1	0	0	0	0	0
John Alcorn Category:Articles with hCards	United Kingdom	1987	0	2 (0)	0	0	0	0	0
Jean Alesi Category:Articles with hCards	France	1988 – 1989	1 ( 1989 )	20	2	3	5	1	50
Philippe Alliot Category:Articles with hCards	France	1985 – 1986	0	7	1	1	1	0	10
Giovanni Aloi Category:Articles with hCards	Mexico	1990	0	4 (3)	0	0	0	0	0
Fernando Alonso Category:Articles with hCards	Spain	2000	0	10 (9)	1	1	2	2	17
Giovanna Amati Category:Articles with hCards	Italy	1987 – 1988 , 1990 – 1991	0	31 (14)	0	0	0	0	0
Phil Andrews Category:Articles with hCards	United Kingdom	1988 – 1990 , 1992 – 1993	0	35 (29)	0	0	0	0	0
Steven Andskär Category:Articles with hCards	Sweden	1986 – 1988	0	16 (12)	0	0	0	0	0
Max Angelelli Category:Articles with hCards	Italy	1991	0	1	0	0	0	0	0
Eric Angelvy Category:Articles with hCards	France	1993	0	5 (4)	0	0	0	0	0
Claudio Antonioli Category:Articles with hCards	Italy	1986	0	4 (1)	0	0	0	0	0
Marco Apicella Category:Articles with hCards	Italy	1987 – 1991 , 1999	0	54 (52)	2	0	6	9	71
Steve Arnold Category:Articles with hCards	United Kingdom	1996	0	1	0	0	0	0	0
Can Artam Category:Articles with hCards	Turkey	2004	0	9	0	0	0	0	0
Didier Artzet Category:Articles with hCards	France	1988 – 1990	0	14 (11)	0	0	1	0	4
Bernhard Auinger Category:Articles with hCards	Austria	2003	0	2	0	0	0	0	0
Soheil Ayari Category:Articles with hCards	France	1997 – 2000	0	41 (40)	1	2	5	3	48
Eric Bachelart Category:Articles with hCards	Belgium	1988	0	2 (0)	0	0	0	0	0
Luca Badoer Category:Articles with hCards	Italy	1992	1 ( 1992 )	10	5	4	5	3	46
Julian Bailey Category:Articles with hCards	United Kingdom	1987	0	7	0	1	1	0	13
Fulvio Ballabio Category:Articles with hCards	Italy	1985 – 1986	0	2 (1)	0	0	0	0	0
Fabrizio Barbazza Category:Articles with hCards	Italy	1987 – 1988 , 1990 – 1991	0	18 (14)	0	0	0	0	3
Paolo Barilla Category:Articles with hCards	Italy	1986 – 1988	0	22 (19)	0	0	0	0	3
