Rank	Company	Headquarters	Industry	Sales (billion $)	Profits (billion $)	Assets (billion $)	Market Value (billion $)
01	General Electric	USA	Conglomerate	182.52	17.41	797.77	88.77
02	Royal Dutch Shell	Netherlands	Oil and gas	458.36	26.28	278.44	135.10
03	Toyota	Japan	Automotive	263.42	17.21	324.98	102.35
04	ExxonMobil	USA	Oil and gas	425.70	45.22	228.05	335.54
05	BP	UK	Oil and gas	361.14	21.16	228.24	119.70
06	HSBC	UK	Banking	142.05	5.73	2,570.45	85.04
07	AT&T Inc.	USA	Telecommunications	124.03	12.87	265.25	140.08
08	Walmart	USA	Retailing	405.61	13.40	163.43	193.15
09	Santander Group	Spain	Banking	96.23	13.25	1,318.86	49.75
09	Chevron	USA	Oil and gas	255.11	23.93	161.17	121.70
11	Total	France	Oil and gas	223.15	14.74	164.66	112.90
12	ICBC	China	Banking	53.60	11.16	1,188.08	170.83
13	Gazprom	Russia	Oil and gas	97.29	26.78	276.81	74.55
14	PetroChina	China	Oil and gas	114.32	19.94	145.14	270.56
15	Volkswagen Group	Germany	Automotive	158.40	6.52	244.05	75.18
16	JPMorgan Chase	USA	Banking	101.49	3.70	2,175.05	85.87
17	GDF Suez	France	Utilities	115.59	9.05	232.71	70.46
18	Eni	Italy	Oil and gas	158.32	12.91	139.80	80.68
19	Berkshire Hathaway	USA	Conglomerate	107.79	4.99	267.40	122.11
20	Vodafone	UK	Telecommunications	70.39	13.30	252.08	93.66
