Year	Network	Play-by-play	Color commentator(s)	Sideline reporter(s)
1990	ESPN	Mike Patrick	Joe Theismann	Chris Berman
1991	ESPN	Mike Patrick	Joe Theismann	Chris Berman
1992	ESPN	Mike Patrick	Joe Theismann	Chris Berman
1993	ESPN	Mike Patrick	Joe Theismann	Chris Berman
1994	ESPN	Mike Patrick	Joe Theismann	Chris Berman
1995	ABC	Al Michaels	Frank Gifford and Dan Dierdorf	Lynn Swann and Lesley Visser
1996	ABC	Al Michaels	Frank Gifford and Dan Dierdorf	Lynn Swann and Lesley Visser
1997	ABC	Al Michaels	Frank Gifford and Dan Dierdorf	Lynn Swann and Lesley Visser
1998	ABC	Al Michaels	Frank Gifford and Dan Dierdorf	Lynn Swann and Lesley Visser
1999	ABC	Al Michaels	Dan Dierdorf and Boomer Esiason	Lesley Visser and Dan Fouts
