Name	Locale	State	Age at appointment	Term
Tashua Allman	Glenville	WV	21	2009–present
Matthew Avitabile	Middleburgh, NY	NY	25	2012–present
Jenny Lynn Barger	Sligo	PA	20	2009–Present
Gianfranco Basabe	Palo	IA	29	2008–2009
Ryan Bingham	Torrington	CT	22	2005–present
Matthew Bogusz	Des Plaines	IL	26	2013-present
Nicholas Bozarth	Napavine, WA	WA	22	2008–2011
Stephen Brinlee	Wilburton	OK	22	2007–present
Pete Buttigieg	South Bend	IN	29	2011–present
Charles Cockrum	West City, IL	IL	27	2008–present
Kyle Corbin	Union	OR	18	2006–present
Matt Delligatti	Fairmont	WV	22	2009-present
Jeffrey Dunkel	Mount Carbon	PA	18	2003–present
Scott Faughn	Poplar Bluff	MO	22	2002–2004
Benjamin R. Frederick	Owosso	MI	27	2009–present
Freddy Guerra	Roma	TX	24	2010–present
Rusty Hammer	Campbell	CA	21	1975–1978
John Tyler Hammons	Muskogee	OK	19	2008–2012
Mathias Harter	La Crosse	WI	24	2009–2013
Gordon Hennington	Hamburg	AR	24	1959–1962, 2003–2010
Jerrod W. Holton	Midway	FL	23	2007–Present
J. Michael Ihle	Ravenswood	WV	25	2012–Present
Trey A. Joy	Smith Center	KS	19	2009–Present
Sam Juhl	Roland	IA	18	2005–2009
James R. Kern III	Pohatcong	NJ	22	2011–present
Jason Klush	Pittston	PA	32	2010–present
Marco Lopez	Nogales	AZ	22	2000–2003
Seth Low	Brooklyn	NY	31	1881–1885
Shane Mack	Castlewood	SD	18	1988–1996
Laura Martinez	East Palo Alto	CA	27	2012-
Art Martinez de Vara	Von Ormy	TX	32	2008–present
Derek Merrin	Waterville	OH	21	2006–2011
Jeremy Minnier	Aredale	IA	18	2011–present
Marcus Molinaro	Tivoli	NY	19	1995–2007
Alex Morse	Holyoke	MA	22	2012-
Svante Myrick	Ithaca	NY	24	2012-
Jason Nastke	Valatie	NY	19	1999–2003
Justin Nickels	Manitowoc	WI	22	2009–present
Michael Peccon	Carmichaels	PA	21	2002–2004
Chester Pritchett	Roseland	LA	22	1969-1984
Romaine Robert Quinn	Rice Lake	WI	19	2010–2012
Luke Ravenstahl	Pittsburgh	PA	27	2006–present
Jacob Reuter	Epworth	IA	27	2009–present
Raul L. Reyes	El Cenizo	TX	21	2004–present
Christopher Seeley	Linesville	PA	18	2005–present
Justin Seese	Ashville	PA	19	2009-
Michael Sessions	Hillsdale	MI	18	2005–2009
Joe F. Sullivan	Imboden	AR	21	1911–1915
Bruce A. Taliento	Portland	ME	26	1978-1979
Philip A. Tanis	Holland	MI	23	1987-1989
Charles Taylor	Van Buren	AR	21	1885-?
Willie Morgan Todd	Mount Juliet	TN	21	2012–present
Tye Thomas	Gun Barrel City, Texas	TX	21	2000-2001
Robert Tufts	Dorset	MN	4	2013
Zachary J. Vruwink	Wisconsin Rapids, WI	WI	24	2012–present
Jason West	New Paltz	NY	26	2003–2007
Olivia Webb	Ellerbe, NC	NC	25	2009–present
Jeremy Wilson	Blossom, Texas	TX	24	2010–present
Jeremy Yamaguchi	Placentia	CA	22	2012–
Harry Zikas, Jr.	Alpha	NJ	21	2000–2007
Brian Zimmerman	Crabb	TX	11	1983 - ?
