State and District of Columbia	Obese adults	Overweight (incl. obese) adults	Obese children and adolescents	Obesity rank
Alabama	30.1%	65.4%	16.7%	3
Alaska	27.3%	64.5%	11.1%	14
Arizona	23.3%	59.5%	12.2%	40
Arkansas	28.1%	64.7%	16.4%	9
California	23.1%	59.4%	13.2%	41
Colorado	21.0%	55.0%	9.9%	51
Connecticut	20.8%	58.7%	12.3%	49
District of Columbia	22.1%	55.0%	14.8%	43
Delaware	25.9%	63.9%	22.8%	22
Florida	23.3%	60.8%	14.4%	39
Georgia	27.5%	63.3%	16.4%	12
Hawaii	20.7%	55.3%	13.3%	50
Idaho	24.6%	61.4%	10.1%	31
Illinois	25.3%	61.8%	15.8%	26
Indiana	27.5%	62.8%	15.6%	11
Iowa	26.3%	63.4%	12.5%	19
Kansas	25.8%	62.3%	14.0%	23
Kentucky	28.4%	66.8%	20.6%	7
Louisiana	29.5%	64.2%	17.2%	4
Maine	23.7%	60.8%	12.7%	34
Maryland	25.2%	61.5%	13.3%	28
Massachusetts	20.9%	56.8%	13.6%	48
Michigan	27.7%	63.9%	14.5%	10
Minnesota	24.8%	61.9%	10.1%	30
Mississippi	34.4%	67.4%	17.8%	1
Missouri	27.4%	63.3%	15.6%	13
Montana	21.7%	59.6%	11.1%	45
Nebraska	26.5%	63.9%	11.9%	18
Nevada	23.6%	61.8%	12.4%	36
New Hampshire	23.6%	60.8%	12.9%	35
New Jersey	22.9%	60.5%	13.7%	42
New Mexico	23.3%	60.3%	16.8%	38
New York	23.5%	60.0%	15.3%	37
North Carolina	27.1%	63.4%	19.3%	16
North Dakota	25.9%	64.5%	12.1%	21
Ohio	26.9%	63.3%	14.2%	17
Oklahoma	28.1%	64.2%	15.4%	8
Oregon	25.0%	60.8%	14.1%	29
Pennsylvania	25.7%	61.9%	13.3%	24
Rhode Island	21.4%	60.4%	11.9%	46
South Carolina	29.2%	65.1%	18.9%	5
South Dakota	26.1%	64.2%	12.1%	20
Tennessee	29.0%	65.0%	20.0%	6
Texas	27.2%	64.1%	19.1%	15
Utah	21.8%	56.4%	8.5%	44
Vermont	21.1%	56.9%	11.3%	47
Virginia	25.2%	61.6%	13.8%	27
Washington	24.5%	60.7%	10.8%	32
West Virginia	30.6%	66.8%	20.9%	2
Wisconsin	25.5%	62.4%	13.5%	25
