Week	Date	Opponent	Result	Attendance
1	September 21, 1975	New York Giants	L 23–14	60,798
2	September 28, 1975	at Chicago Bears	L 15–13	48,071
3	October 5, 1975	Washington Redskins	W 26–10	64,397
4	October 12, 1975	at Miami Dolphins	L 24–16	60,127
5	October 19, 1975	St. Louis Cardinals	L 31–20	45,242
6	October 26, 1975	Dallas Cowboys	L 20–17	64,889
7	November 3, 1975	Los Angeles Rams	L 42–3	64,601
8	November 9, 1975	St. Louis Cardinals	L 24–23	60,277
9	November 16, 1975	at New York Giants	W 13–10	53,434
10	November 23, 1975	at Dallas Cowboys	L 27–17	57,893
11	November 30, 1975	San Francisco 49ers	W 27–17	56,694
12	December 7, 1975	Cincinnati Bengals	L 31–0	56,984
13	December 14, 1975	at Denver Broncos	L 25–10	36,860
14	December 21, 1975	at Washington Redskins	W 26–3	49,385
