Place	Player	Country	Score	To par
1	Henry Picard	United States	67-68=135	–9
T2	Gene Sarazen	United States	68-71=139	–5
T2	Ray Mangrum	United States	68-71=139	–5
T4	Olin Dutra	United States	70-70=140	–4
T4	Jimmy Hines	United States	70-70=140	–4
6	Craig Wood	United States	69-72=141	–3
T7	Walter Hagen	United States	73-69=142	–2
T7	Paul Runyan	United States	70-72=142	–2
T7	Willie Goggin	United States	68-74=142	–2
T9	Sam Parks, Jr.	United States	74-70=144	E
T9	Denny Shute	United States	73-71=144	E
T9	Vic Ghezzi	United States	73-71=144	E
T9	Joe Turnesa	United States	73-71=144	E
T9	Johnny Revolta	United States	70-74=144	E
