Date	Opponent	Score	Loss	Attendance	Record
May 2	Tigers	11 - 1	Galarraga (2-1)	33,628	14-14
May 3	Tigers	4 - 1	Verlander (1-5)	28,985	15-14
May 4	Tigers	7 - 6	Miner (1-2)	29,821	16-14
May 6	@ White Sox	7 - 1	Blackburn (2-2)	23,480	16-15
May 7	@ White Sox	13 - 1	Buehrle (1-4)	21,092	17-15
May 8	@ White Sox	6 - 2	Slowey (0-2)	25,193	17-16
May 9	Red Sox	7 - 6	Papelbon (2-2)	25,477	18-16
May 10	Red Sox	5 - 2	Perkins (0-1)	33,839	18-17
May 11	Red Sox	9 - 8	Wakefield (3-2)	26,511	19-17
May 12	Red Sox	7 - 3	Bucholz (2-3)	18,782	20-17
May 13	Blue Jays	5 - 3	Slowey (0-3)	18,110	20-18
May 14	Blue Jays	6 - 5	Bonser (2-5)	21,026	20-19
May 15	Blue Jays	3 - 2 (11)	Crain (1-2)	18,701	20-20
May 16	@ Rockies	4 - 2	Jiménez (1-4)	35,336	21-20
May 17	@ Rockies	3 - 2	Hernández (6-2)	43,149	21-21
May 18	@ Rockies	6 - 2	Slowey (0-4)	40,326	21-22
May 19	Rangers	7 - 6 (12)	Germán (1-3)	16,680	22-22
May 20	Rangers	11 - 4	Mathis (1-1)	19,376	23-22
May 21	Rangers	10 - 1	Blackburn (4-3)	22,032	23-23
May 22	Rangers	8 - 7 (10)	Bass (1-1)	23,126	23-24
May 23	@ Tigers	9 - 4	Galarraga (3-2)	40,732	24-24
May 24	@ Tigers	19 - 3	Bonser (2-6)	41,137	24-25
May 25	@ Tigers	6 - 1	Cruceta (0-2)	42,413	25-25
May 27	@ Royals	4 - 3 (12)	Núñez (3-1)	17,191	26-25
May 28	@ Royals	9 - 8 (10)	Peralta (0-2)	13,621	27-25
May 29	@ Royals	5 - 1	Hochevar (3-5)	12,336	28-25
May 30	Yankees	6 - 5	Perkins (2-2)	30,188	28-26
May 31	Yankees	7 - 6 (12)	Rincón (2-2)	36,441	28-27
