Name	Nationality	Position	Years	Appearances	Goals
Gareth Abraham	Wales	CD	1987–1993	109	5
Neil Alexander	Scotland	GK	2001–2007	234	0
Ivor Allchurch	Wales	IF	1962–1965	112	39
Willie Anderson	England	WG	1973–1977	142	12
Lee Baddeley	Wales	CD	1990–1997	164	1
Billy Baker	Wales	WH	1938–1955	308	6
Colin Baker	Wales	WH	1953–1966	328	18
Chris Barker	England	FB	2002–2007	180	0
Kevin Bartlett	England	FW	1986–1989	105	28
Billy Bassett	Wales	CD	1934–1938	170	2
Gary Bell	England	FB	1966–1974	265	12
Ronnie Bird	England	OF	1966–1971	128	28
Tony Bird	Wales	FW	1992–1996	100	18
Ray Bishop	Wales	FW	1977–1981	118	29
George Blackburn	England	WH	1926–1931	119	1
Doug Blair	England	IF	1947–1954	216	30
Jimmy Blair	Scotland	FB	1920–1926	208	0
Darcy Blake	Wales	DF	2005-2012	118	0
Nathan Blake	Wales	FW	1990–1994	164	40
Willie Boland	Ireland	MF	1999–2006	243	4
Mark Bonner	England	MF	1998–2004	170	3
Jay Bothroyd	England	FW	2008–2011	136	45
Jason Bowen	Wales	WG	1998–2004	161	37
Terry Boyle	Wales	CD	1986–1989	158	9
Derek Brazil	Ireland	CD	1992–1996	141	1
John Buchanan	Scotland	MF	1974–1981	264	61
Chris Burke	Scotland	MF	2009–2011	121	16
Alan Campbell	Scotland	MF	1976–1980	193	2
David Carver	England	FB	1966–1973	243	2
Michael Chopra	England	FW	2006–2007, 2008–2009 & 2009–2011	162	65
Brian Clark	England	FW	1967–1972 & 1975–1976	240	91
Joe Clennell	England	IF	1921–1924	135	41
Graham Coldrick	Wales	FB	1963–1970	118	3
Alan Curtis	Wales	MF/FW	1986–1989	154	13
Carl Dale	Wales	FW	1991–1998	253	94
Fred Davies	England	GK	1968–1970	111	0
Len Davies	Wales	FW	1920–1931	339	148
Phil Dwyer	Wales	CD	1972–1985	531	45
Robert Earnshaw	Wales	FW	1997–2004, 2011–2013	227	109
Jeff Eckhardt	England	CD/MF	1996–2001	164	17
George Edwards	Wales	OF	1948–1955	209	37
George Emmerson	England	OF	1930–1933	127	19
Herbie Evans	Wales	WH	1920–1926	109	2
Jack Evans	Wales	OF	1920–1926	226	12
Tony Evans	England	FW	1975–1978	145	58
Tom Farquharson	Ireland	GK	1922–1935	481	0
Greg Farrell	Scotland	OF	1964–1967	113	9
Bobby Ferguson	England	FB	1965–1968	108	0
Hughie Ferguson	Scotland	FW	1925–1929	131	87
Mike Ford	England	FB/CD	1984–1987 & 1998–2000	232	14
Trevor Ford	Wales	FW	1953–1956	101	45
Leo Fortune-West	England	FW	2000–2003	113	28
Jason Fowler	England	MF	1996–2001	169	20
Danny Gabbidon	Wales	CD	2000–2005	219	10
Jack Galbraith	Scotland	WH	1931–1935	152	2
Roger Gibbins	England	MF/CD	1982–1985 & 1988–1993	324	32
Ian Gibson	Scotland	MF	1970–1972	109	14
David Giles	Wales	WG	1974–1978 & 1985–1987	131	6
Jimmy Gill	England	IF/OF	1920–1925	212	94
Jimmy Gilligan	England	FW	1987–1989	121	46
Cliff Godfrey	England	WH	1935–1938	112	1
Wilf Grant	England	FW	1949–1954	159	67
Arthur Granville	Wales	FB	1934–1938	106	7
Steve Grapes	England	MF	1976–1982	166	6
Cohen Griffith	Guyana	WG	1989–1995	275	48
Billy Grimshaw	England	OF	1920–1923	124	17
Aron Gunnarsson	Iceland	MF	2011–	100	14
Jon Hallworth	England	GK	1997–2001	147	0
Roger Hansbury	England	GK	1989–1992	113	0
Billy Hardy	England	CD/WH	1920–1932	408	6
Alan Harrington	Wales	FB	1952–1966	381	7
Brian Harris	England	WH	1966–1971	181	1
Francis Harris	England	WH/IF	1928–1933	135	12
Ron Healey	Ireland	GK	1974–1982	241	0
Barrie Hole	Wales	WH	1959–1966	241	18
Ken Hollyman	Wales	WH	1946–1953	202	11
Ron Howells	Wales	GK	1950–1957	163	0
Mark Hudson	England	DF	2009-	156	11
Bill Irwin	Northern Ireland	GK	1971–1978	210	0
Lee Jarman	Wales	CD	1993–1999	111	2
Dilwyn John	Wales	GK	1961–1967	104	0
Roger Johnson	England	CD	2006–2009	136	14
Barrie Jones	Wales	OF	1967–1970	128	22
Linden Jones	Wales	FB/MF	1978–1983	162	3
Leslie Jones	Wales	IF	1929–1934	149	32
Phil Joslin	England	GK	1948–1951	117	0
Graham Kavanagh	Ireland	MF	2001–2005	165	31
Fred Keenor	Wales	CD	1920–1930	414	14
Mark Kelly	England	MF	1987–1990	128	2
Peter King	England	FW	1960–1974	431	89
Albert Larmour	Northern Ireland	CD	1972–1979	180	0
Joe Ledley	Wales	MF	2004–2010	256	30
Andy Legg	Wales	FB	1998–2003	209	12
Arthur Lever	Wales	FB	1946–1950	165	9
Bernie Lewis	Wales	OF	1963–1967	105	10
John Lewis	Wales	MF	1978–1983	160	10
Doug Livermore	England	MF	1975–1977	107	5
Glenn Loovens	Netherlands	CD	2005–2008	115	3
Danny Malloy	Scotland	CD	1955–1961	242	1
David Marshall	Scotland	GK	2009-	160	0
Jimmy McCambridge	Ireland	FW	1930–1933	100	53
George McLachlan	Scotland	OF	1925–1929	154	24
Kevin McNaughton	Scotland	FB	2006–	284	2
Stephen McPhail	Ireland	MF	2006–2013	222	3
Tarki Micallef	Wales	MF	1978–1983 & 1984–1986	138	12
Craig Middleton	England	MF	1996–2000	142	11
Paul Millar	Northern Ireland	MF	1991–1995	146	20
Alec Milne	Scotland	FB	1957–1965	188	1
Stan Montgomery	England	CD	1948–1955	243	4
Jimmy Mullen	England	CD	1981–1986	149	12
Don Murray	Scotland	CD	1962–1975	483	7
Jimmy Nelson	Scotland	FB	1921–1930	271	3
George Nicholson	England	WH	1936–1939	113	0
Kevin Nugent	England	FW	1997–2002	118	37
Cliff Nugent	England	OF	1951–1958	122	20
Wayne O'Sullivan	Ireland	MF	1997–1999	100	5
Paul Parry	Wales	WG	2004–2009	214	27
Jason Perry	Wales	CD	1987–1997	338	5
Freddie Pethard	Scotland	FB	1969–1979	191	0
Leighton Phillips	Wales	CD/MF	1967–1974	213	14
Chris Pike	England	FW	1986 & 1989–1993	181	74
Nick Platnauer	England	FB/MF	1986–1989	142	9
Keith Pontin	Wales	CD	1976–1983	219	5
Reg Pugh	Wales	OF	1934–1938	182	27
Darren Purse	England	CD	2005–2009	124	12
Gavin Rae	Scotland	MF	2007–2011	153	8
Gil Reece	Wales	WG	1972–1976	116	26
Billy Rees	Wales	IF	1946–1949	107	36
Nick Richardson	England	MF	1992–1995	130	14
William Roberts	England	FB	1928–1933	135	1
Ian Rodgerson	England	WG/FB	1988–1991 & 1995–1997	191	6
Peter Rodrigues	Wales	FB	1961–1965	103	2
Billy Ronson	England	MF	1979–1981	102	4
Charles Rutter	England	FB	1949–1958	125	0
Peter Sayer	Wales	WG	1974–1978	102	19
Damon Searle	Wales	FB	1990–1996	278	4
Alf Sherwood	Wales	FB	1946–1956	372	15
Derek Showers	Wales	FW	1970–1977	100	13
Bert Smith	Ireland	CD	1920–1923	123	3
Fred Stansfield	Wales	CD	1946–1949	111	1
Gary Stevens	England	FW/CD	1978–1982	163	47
Ron Stitfall	Wales	FB	1947–1964	421	8
