Rider	Manufacturer	Laps	Time	Grid
Marco Simoncelli	Gilera	23	41:01.859	4
Alvaro Bautista	Aprilia	23	+0.039	1
Héctor Barbera	Aprilia	23	+11.291	3
Alex Debon	Aprilia	23	+21.373	2
Thomas Luthi	Aprilia	23	+26.621	12
Mattia Pasini	Aprilia	23	+26.720	5
Hiroshi Aoyama	KTM	23	+35.818	8
Héctor Faubel	Aprilia	23	+36.321	6
Julian Simon	KTM	23	+36.964	10
Lukas Pesek	Aprilia	23	+41.237	16
Ratthapark Wilairot	Honda	23	+52.391	14
Yuki Takahashi	Honda	23	+56.656	7
Alex Baldolini	Aprilia	23	+59.282	19
Manuel Poggiali	Gilera	23	+1:02.503	17
Fabrizio Lai	Gilera	23	+1:02.656	18
Eugene Laverty	Aprilia	23	+1:07.418	20
Russel Gomez	Aprilia	23	+1 Lap	21
Doni Tata Pradita	Yamaha	23	+1 Lap	24
Mika Kallio	KTM	19	Retirement	9
Imre Toth	Aprilia	9	Retirement	22
Karel Abraham	Aprilia	7	Accident	15
Aleix Espargaro	Aprilia	2	Retirement	13
Daniel Arcas	Honda	2	Accident	23
Roberto Locatelli	Gilera	0	Accident	11
