Date	Visitor	Score	Home	Attendance	Record	Points
November 1	Penguins	4–1	North Stars	7,535	4–6–1	9
November 4	Penguins	1–0	Seals	4,549	5–6–1	11
November 8	Flyers	1–1	Penguins	4,719	5–6–2	12
November 9	Penguins	1–5	Red Wings	10,683	5–7–2	12
November 11	Blues	5–1	Penguins	7,183	5–8–2	12
November 15	Flyers	0–5	Penguins	6,876	6–8–2	14
November 18	Penguins	5–3	Blues	7,715	7–8–2	16
November 22	Bruins	1–4	Penguins	9,701	8–8–2	18
November 24	Penguins	3–5	Kings	6,409	8–9–2	18
November 25	Penguins	2–2	Seals	5,977	8–9–3	19
November 29	Seals	1–6	Penguins	4,499	9–9–3	21
