Year	Pick	Player	Position	College
1937	10	Johnny Drake	FB	Purdue
1938	1	Corbett Davis *	FB	Indiana
1939	3	Parker Hall	QB	Mississippi
1940	5	Olie Cordill	HB	Rice
1941	4	Rudy Mucha	G	Washington
1942	2	Jack Wilson	HB	Baylor
1943	5	Mike Holovak	FB	Boston College
1944	11	Tony Butkovich	B	Illinois
1945	5	Crazy Legs Hirsch †	OE	Michigan
1946	10	Emil Sitko	HB	Notre Dame
1947	9	Herman Wedemeyer	B	Saint Mary's (California)
1948	—	— No pick	—	—
1949	7	Bobby Thomason	QB	Virginia Military Institute
1950	9	Ralph Pasquariello	FB	Villanova
1950	12	Stan West	G	Oklahoma
1951	11	Bud McFadin	DT	Texas
1952	13	Bob Carey	DE	Michigan State
1953	9	Donn Moomaw	C	UCLA
1953	12	Ed Barker	DE	Washington State
1954	10	Ed Beatty	C	Mississippi
1955	7	Larry Morris	C	Georgia Tech
1956	6	Joe Marconi	HB	West Virginia
1956	11	Charlie Horton	HB	Vanderbilt
1957	2	Jon Arnett	HB	USC
1957	11	Del Shofner	HB	Baylor
1958	4	Lou Michaels	DT	Kentucky
1958	5	Jim Phillips	DE	Auburn
1959	2	Dick Bass	HB	Pacific
1959	9	Paul Dickson	DT	Baylor
1960	1	Billy Cannon *	RB	LSU
1961	4	Marlin McKeever	LB	USC
1962	2	Roman Gabriel	QB	North Carolina State
1962	3	Merlin Olsen †	DT	Utah State
1963	1	Terry Baker *	RB	Oregon State
1963	10	Rufus Guthrie	G	Georgia Tech
1964	7	Bill Munson	QB	Utah State
1965	9	Clancy Williams	HB	Washington State
1966	2	Tom Mack †	OT	Michigan
1967	—	— No pick	—	—
1968	—	— No pick	—	—
1969	8	Larry Smith	RB	Florida
1969	10	Jim Seymour	SE	Notre Dame
1969	21	Bob Klein	TE	USC
1970	22	Jack Reynolds	LB	Tennessee
1971	10	Isiah Robertson	LB	Southern
1971	20	Jack Youngblood †	DE	Florida
1972	—	— No pick	—	—
1973	—	— No pick	—	—
1974	11	John Cappelletti	RB	Penn State
1975	9	Mike Fanning	DT	Notre Dame
1975	11	Dennis Harrah	G	Miami (Florida)
1975	20	Doug France	T	Ohio State
1976	26	Kevin McLain	LB	Colorado State
1977	23	Bob Brudzinski	LB	Ohio State
1978	20	Elvis Peacock	RB	Oklahoma
1979	19	George Andrews	LB	Nebraska
1979	26	Kent Hill	T	Georgia Tech
1980	17	Johnnie Johnson	S	Texas
1981	9	Mel Owens	LB	Michigan
1982	14	Barry Redden	RB	Richmond
1983	2	Eric Dickerson †	RB	Southern Methodist
1984	—	— No pick	—	—
1985	21	Jerry Gray	S	Texas
1986	23	Mike Schad	T	Queen's (Canada)
1987	—	— No pick	—	—
1988	14	Gaston Green	RB	UCLA
1988	20	Aaron Cox	WR	Arizona State
1989	21	Bill Hawkins	DE	Miami (Florida)
1989	26	Cleveland Gary	RB	Miami {Florida}
1990	23	Bern Brostek	D	Washington
1991	5	Todd Lyght	CB	Notre Dame
1992	3	Sean Gilbert	DL	Pittsburgh
1993	10	Jerome Bettis	RB	Notre Dame
1994	15	Wayne Gandy	T	Auburn
1995	6	Kevin Carter	DE	Florida
1996	6	Lawrence Phillips	RB	Nebraska
1996	18	Eddie Kennison	WR	Louisiana State
1997	1	Orlando Pace *	T	Ohio State
1998	6	Grant Wistrom	DE	Nebraska
1999	6	Torry Holt	WR	North Carolina State
2000	31	Trung Canidate	RB	Arizona
2001	12	Damione Lewis	DT	Miami (Florida)
2001	20	Adam Archuleta	DB	Arizona State
2001	29	Ryan Pickett	DT	Ohio State
2002	31	Robert Thomas	LB	UCLA
2003	12	Jimmy Kennedy	DT	Penn State
2004	24	Steven Jackson	RB	Oregon State
2005	19	Alex Barron	OT	Florida State
2006	15	Tye Hill	CB	Clemson
2007	13	Adam Carriker	DE	Nebraska
2008	2	Chris Long	DE	Virginia
2009	2	Jason Smith	OT	Baylor
2010	1	Sam Bradford *	QB	Oklahoma
2011	14	Robert Quinn	DE	UNC
2012	14	Michael Brockers	DT	LSU
2013	8	Tavon Austin	WR	West Virginia
