Season	Club	League	Apps.	Goals
2000	Los Angeles Galaxy	Major League Soccer	16	3
2001	Los Angeles Galaxy	Major League Soccer	26	3
2002	Los Angeles Galaxy	Major League Soccer	17	0
2003	Los Angeles Galaxy	Major League Soccer	20	0
2004	Los Angeles Galaxy	Major League Soccer	12	0
2005	Los Angeles Galaxy	Major League Soccer	29	5
2006	Los Angeles Galaxy	Major League Soccer	25	2
2007	Los Angeles Galaxy	Major League Soccer	24	0
2008	Los Angeles Galaxy	Major League Soccer	14	1
2009	Seattle Sounders FC	Major League Soccer	14	0
2010	Seattle Sounders FC	Major League Soccer	7	0
2011	Vancouver Whitecaps FC	Major League Soccer	16	0
2012	Chivas USA	Major League Soccer	1	0
Total	Last Updated: February 22, 2012	Last Updated: February 22, 2012	221	14
