Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Jim Branagan	DF	0	0	0	0	0 (1)	0	0 (1)	0
Malcolm Brown	DF	46	2	2	0	4	1	52	3
David Cowling	MF	39 (1)	10	1	0	4	0	44 (1)	10
Peter Fletcher	FW	30 (8)	17	2	0	3	1	35 (8)	18
Keith Hanvey	DF	33	2	0	0	4	0	39	2
Peter Hart	MF	46	4	1	1	4	0	51	5
Ian Holmes	MF	6 (4)	3	0	0	4	1	10 (4)	4
Steve Kindon	FW	22 (1)	14	0	0	0	0	22 (1)	14
Mick Laverick	MF	45	4	2	0	4	0	51	4
Bernard Purdie	DF	18 (4)	0	2	0	0	0	20 (4)	0
Andy Rankin	GK	24	0	0	0	0	0	24	0
Ian Robins	FW	45	25	2	0	4	2	51	27
Fred Robinson	DF	30	1	2	0	4	0	36	1
Tommy Smith	FW	0	0	0	0	1	0	1	0
Brian Stanton	MF	41	9	2	0	0	0	43	9
Alan Starling	GK	22	0	2	0	4	0	28	0
Dave Sutton	DF	46	6	2	0	4	1	52	7
Chris Topping	DF	13	0	2	0	0	0	15	0
