Country	Name of bullion coin	Fineness	Denominations (Gold weight)	Years of mintage
Australia	Lunar Series I	.9999	1 ozt	1996–2007
Australia	Lunar Series II	.9999	1 ozt	2008–2019
Austria	Philharmoniker	.9999	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1989–present
China	Gold Panda	.999	1/20 ozt, 1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1982–present
France	20 Francs Napoleon	.900	0.1867 ozt.	1806–1914
Israel	Tower of David	.9999	1 ozt	2010
Kazakhstan	Golden Irbis	.9999	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	2009–present
Malaysia	Kijang Emas	.9999	1/4 ozt, 1/2 ozt, 1 ozt	2001–present
Mexico	Libertad	.999	1/20 ozt, 1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1991–present
Mexico	Libertad	.900	1/4 ozt, 1/2 ozt, 1 ozt	1981–1990
Mexico	Centenario (50 Pesos)	.900	1.20565 ozt	1921 - 1931 Periodically 1943 - 1972
Poland	Orzeł bielik	.9999	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1995–present But 2001, 2003 and 2005
Poland	Bene Merentibus	.9999	1/2 ozt, 1 ozt	2012
Russia	George the Victorious	.999	0.2537 ozt	2006–present
South Africa	Krugerrand	.9167	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1967–present
Switzerland	Vreneli	.900	0.0933 ozt, 0.1866 ozt	1897 - 1936 1947 and 1949
Ukraine	Archangel Michael	.9999	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	2012–present
United Kingdom	Britannia	.9167	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1987–2012
United Kingdom	Britannia	.9999	1 ozt	2013-
United States	Gold Eagle	.9167	1/10 ozt, 1/4 ozt, 1/2 ozt, 1 ozt	1986–present
United States	American Buffalo	.9999	1 ozt	2006–present
United States	Double Eagle	.900	0.9675 ozt	1849–1933
