Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	San Jose	2 – 0	St. Louis	Legace	19,150	28–27–10
March 4	Los Angeles	2 – 3	St. Louis	Legace	14,973	29–27–10
March 5	St. Louis	1 – 4	Detroit	Legace	18,064	29–28–10
March 8	St. Louis	2 – 4	Vancouver	Legace	18,630	29–29–10
March 10	St. Louis	3 – 7	Calgary	Toivonen	19,289	29–30–10
March 11	St. Louis	3 – 4	Edmonton	Legace	16,839	29–30–11
March 14	St. Louis	1 – 4	San Jose	Toivonen	17,496	29–31–11
March 15	St. Louis	2 – 5	Anaheim	Legace	17,174	29–32–11
March 18	St. Louis	4 – 3	Montreal	Legace	21,273	30–32–11
March 20	St. Louis	2 – 3	Ottawa	Toivonen	20,027	30–33–11
March 23	St. Louis	3 – 4	Chicago	Toivonen	19,146	30–33–12
March 25	Detroit	2 – 1	St. Louis	Legace	19,150	30–34–12
March 28	St. Louis	4 – 3	Detroit	Legace	20,066	31–34–12
March 29	Chicago	4 – 3	St. Louis	Legace	19,150	31–35–12
