Club	Short name	City	Stadium	Capacity
BVSC-Zugló FC	BVSC	Budapest	Szőnyi Street Stadium	9,000
Debreceni VSC-Epona	Debrecen	Debrecen	Oláh Gábor utcai stadion	9,640
Diósgyőri FC	Diósgyőr	Miskolc	DVTK Stadion	11,300
Dunaferr SE	Dunaújvaros	Dunaújváros	Stadion Eszperantó Út	12,000
Ferencvárosi TC	Ferencváros	Budapest	Albert Flórián Stadion	18,100
Gázszer FC	Gázszer	Akasztó	Stadler Stadium	12,000
Győri ETO FC	Győr	Győr	ETO Park	16,000
Haladás-Milos	Haladás	Szombathely	Rohonci úti stadion	12,000
III. Kerület FC-AT	III. Kerület	Budapest	Hévízi Street Stadium	3,000
Kispest-Honvéd FC	Honvéd	Budapest	Bozsik Stadion	10,000
MTK Hungária	MTK	Budapest	Hidegkuti Nándor Stadium	12,700
Nyírség-Spartacus	Nyíregyháza	Nyíregyháza	Városi Stadion (Nyíregyháza)	16,500
Siófok FC	Siófok	Siófok	Révész Géza utcai stadion	10,500
Újpest FC	Újpest	Budapest	Szusza Ferenc Stadion	13,500
Vasas DH	Vasas	Budapest	Illovszky Rudolf Stadion	12,000
Dunakanyar-Vác FC	Vác	Vác	Stadion Városi Vác	10,500
Videoton FC	Videoton	Székesfehérvár	Sóstói Stadion	15,000
Zalahús ZTE FC	ZTE	Zalaegerszeg	ZTE Aréna	9,000
