Round	Overall pick	NFL team	Player	Position	College
1	8	Tennessee Titans	Jake Locker	Qaurterback	Washington
1	9	Dallas Cowboys	Tyron Smith	Offensive tackle	USC
1	24	New Orleans Saints	Cameron Jordan	Defensive end	California
2	38	Tennessee Titans	Akeem Ayers	Offensive linebacker	UCLA
2	42	Houston Texans	Brooks Reed	Defensive end	Arizona
2	45	Denver Broncos	Rahim Moore	Safety	UCLA
2	53	Chicago Bears	Stephen Paea	Defensive tackle	Oregon State
2	56	New England Patriots	Shane Vereen	Running back	California
3	77	Tennessee Titans	Jurrell Casey	Defensive tackle	USC
3	84	Tampa Bay Buccaneers	Mason Foster	Linebacker	Washington
3	89	San Diego Chargers	Shareece Wright	Defensive back	USC
3	93	Chicago Bears	Chris Conte	Defensive back	California
3	97	Green Bay Packers	Sione Fua	Defensive tackle	Stanford
4	102	Cleveland Browns	Jordan Cameron	Tight end	USC
4	116	Philadelphia Eagles	Casey Matthews	Linebacker	Oregon
4	124	Cleveland Browns	Owen Marecic	Fulback	Stanford
5	140	Kansas City Chiefs	Gabe Miller	Linebacker	Oregon State
5	145	Atlanta Falcons	Jacquizz Rodgers	Running back	Oregon State
5	154	Seattle Seahawks	Richard Sherman	Cornerback	Stanford
6	167	Cincinnati Bengals	Ryan Whalen	Wide receiver	Stanford
6	182	San Francisco 49ers	Ronald Johnson	Wide receiver	USC
6	184	Arizona Cardinals	David Carter	Defensive tackle	UCLA
6	187	Tampa Bay Buccaneers	Allen Bradford	Running back	USC
6	189	Denver Broncos	Mike Mohamed	Linebacker	California
6	197	Green Bay Packers	Ricky Elmore	Defensive end	Arizona
6	203	Carolina Panthers	Zachary Williams	Center	USC
7	215	Minnesota Vikings	D'Aundre Reed	Defensive end	Arizona
7	233	Green Bay Packers	Lawrence Guy	Defensive tackle	Arizona State
7	240	Philadelphia Eagles	Stanley Havili	Fulback	USC
7	241	Oakland Raiders	David Ausberry	Wide receiver	USC
