Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2007	Master Formula Junior	Javier Juncadella	21	7	0	13	13	359	2nd
2007	Formula BMW ADAC	AM-Holzer Rennsport	6	0	0	0	0	86	23rd
2008	Formula BMW Europe	EuroInternational	16	2	4	1	5	237	4th
2008	Formula BMW World Final	EuroInternational	1	0	0	0	0	N/A	4th
2008	Formula BMW Americas	Euro Junior Team	6	1	0	0	3	54	NC†
2009	Formula BMW Europe	EuroInternational	16	1	0	0	7	288	2nd
2010	Formula 3 Euro Series	Prema Powerteam	18	1	1	4	3	35	8th
2010	GP3 Series	Tech 1 Racing	10	0	0	0	1	10	14th
2010	British Formula Three	Prema Powerteam	3	1	0	2	2	N/A	NC†
2010	Masters of Formula 3	Prema Powerteam	1	0	0	0	0	N/A	16th
2010	Macau Grand Prix	Prema Powerteam	1	0	0	0	0	N/A	NC
2011	Formula 3 Euro Series	Prema Powerteam	27	4	4	3	14	280	3rd
2011	FIA Formula 3 International Trophy	Prema Powerteam	8	1	0	0	2	72	3rd
2011	Masters of Formula 3	Prema Powerteam	1	0	0	0	0	N/A	NC
2011	Macau Grand Prix	Prema Powerteam	1	1	0	0	1	N/A	1st
2012	Formula 3 Euro Series	Prema Powerteam	24	5	5	6	6	240	1st
2012	FIA European Formula 3 Championship	Prema Powerteam	20	5	5	5	5	252	1st
