Game	Date	Opponent	Score	Location	Record
30	Fri. Jan. 2	Chicago Bulls	113-99	Boston Garden	21-9
31	Wed. Jan. 7	Milwaukee Bucks	119-92	Boston Garden	22-9
32	Fri. Jan. 9	Sacramento Kings	109-99	Boston Garden	23-9
33	Sat. Jan. 10	@ Detroit Pistons	101-118	Pontiac Silverdome	23-10
34	Tue. Jan. 13	@ New Jersey Nets	123-117	Brendan Byrne Arena	24-10
35	Wed. Jan. 14	Dallas Mavericks	117-108	Boston Garden	25-10
36	Fri. Jan. 16	Cleveland Cavaliers	133-128 (OT)	Boston Garden	26-10
37	Sun. Jan. 18	Houston Rockets	122-99	Boston Garden	27-10
38	Mon. Jan. 19	@ New York Knicks	109-111	Madison Square Garden	27-11
39	Wed. Jan. 21	Indiana Pacers	130-100	Boston Garden	28-11
40	Fri. Jan. 23	Atlanta Hawks	126-106	Boston Garden	29-11
41	Sun. Jan. 25	Philadelphia 76ers	111-96	Boston Garden	30-11
42	Tue. Jan. 27	@ Chicago Bulls	105-97	Chicago Stadium	31-11
43	Wed. Jan. 28	Chicago Bulls	132-103	Boston Garden	32-11
44	Fri. Jan. 30	@ Indiana Pacers	100-94	Market Square Arena	33-11
