Year	Men's Singles	Women's Singles	Men's Doubles	Women's Doubles	Mixed Doubles
2013	Osleni Guerrero	Michelle Li	Adrian Liu Derrick Ng	Eva Lee Paula Lynn Obanana	Toby Ng Alex Bruce
2012	Kevin Cordón	Christin Tsai	Adrian Liu Derrick Ng	Alexandra Bruce Phyllis Chan	Alexandra Bruce Derrick Ng
2010	Stephan Wojcikiewicz	Cee Nantana Ketpura	Sameera Gunatileka Vincent Nguy	Grace Gao Joycelyn Ko	Toby Ng Grace Gao
2009	Kevin Cordón	Anna Rice	Kevin Cordón Rodolfo Ramirez	Milaine Cloutier Valerie St. Jacques	Toby Ng Grace Gao
2008	David Snider	Claudia Rivero	Toby Ng William Milroy	Christina Aicardi Claudia Rivero	William McRoy Fiona McKee
2007	Stephan Wojcikiewicz	Anna Rice	Mike Beres William Milroy	Fiona Mckee Charmaine Reid	Howard Bach Eva Lee
2005	Andrew Dabeka	Charmaine Reid	Khankham Malaythong Raju Rai	Helen Nichol Charmaine Reid	Mike Beres Jody Patrick
2001	Kevin Han	Meluawati	Kevin Han Howard Bach	Milaine Cloutier Helen Nichol	Keith Chan Milaine Cloutier
1999 1979	Not available	Not available	Not available	Not available	Not available
1993	Mario Carulla	Debra O'Connor	Mario Carulla Jose Antonio Iturriaga	Silvia Jimenez Maria Theresa Montero	Gustavo Salazar Maria Theresa Montero
1977	Roy Díaz González	Wendy Clarkson	Jamie McKee John Czich	Pam Bristol Brady Judianne Kelly	Bruce Pontow Pam Bristol Brady
