Week	Date	Opponent	Result	Attendance
1	September 15, 1974	at Houston Oilers	L 21–14	25,317
2	September 22, 1974	at Cincinnati Bengals	W 20–17	51,178
3	September 29, 1974	Miami Dolphins	L 28–21	44,706
4	October 6, 1974	Philadelphia Eagles	L 13–7	36,124
5	October 13, 1974	Oakland Raiders	L 14–10	40,539
6	October 20, 1974	at Denver Broncos	L 27–7	50,928
7	October 27, 1974	Kansas City Chiefs	L 24–14	34,371
8	November 3, 1974	Cleveland Browns	W 36–35	35,683
9	November 10, 1974	at Kansas City Chiefs	W 14–7	48,551
10	November 17, 1974	at Oakland Raiders	L 17–10	50,178
11	November 24, 1974	at Green Bay Packers	L 34–0	56,267
12	December 1, 1974	at New York Jets	L 27–14	44,888
13	December 8, 1974	Chicago Bears	W 28–21	33,662
14	December 15, 1974	Denver Broncos	W 17–0	36,571
