Goal	Date	Venue	Result	Competition
1	14 December 1996	San José	2–1	World Cup qualifier
2	21 December 1996	Cartago	2–1	World Cup qualifier
3	21 December 1996	Cartago	2–1	World Cup qualifier
4	9 March 1997	San José	5–0	Friendly
5	9 March 1997	San José	5–0	Friendly
6	9 March 1997	San José	5–0	Friendly
7	11 May 1997	San José	3–1	World Cup qualifier
8	11 May 1997	San José	3–1	World Cup qualifier
9	9 November 1997	Mexico DF	3–3	World Cup qualifier
10	4 February 1998	Oakland	7–2	1998 CONCACAF Gold Cup
11	4 February 1998	Oakland	7–2	1998 CONCACAF Gold Cup
12	4 February 1998	Oakland	7–2	1998 CONCACAF Gold Cup
13	4 February 1998	Oakland	7–2	1998 CONCACAF Gold Cup
14	17 March 1999	San José	7–0	1999 UNCAF Nations Cup
15	28 March 1999	San José	4–0	1999 UNCAF Nations Cup
16	17 February 2000	Los Angeles	2–2	2000 CONCACAF Gold Cup
17	20 February 2000	San Diego	1–2	2000 CONCACAF Gold Cup
18	1 July 2000	Alajuela	5–1	Friendly
19	9 July 2000	San José	7–1	Friendly
20	9 July 2000	San José	7–1	Friendly
21	15 August 2000	Alajuela	2–1	World Cup qualifier
22	15 August 2000	Alajuela	2–1	World Cup qualifier
23	6 January 2001	Miami	5–2	World Cup qualifier
24	28 March 2001	Alajuela	3–0	World Cup qualifier
25	28 March 2001	Alajuela	3–0	World Cup qualifier
26	20 June 2001	Alajuela	2–1	World Cup qualifier
27	1 July 2001	Tegucigalpa	3–2	World Cup qualifier
28	13 July 2001	Medellín	1–0	2001 Copa América
29	16 July 2001	Medellín	1–1	2001 Copa América
30	19 July 2001	Medellín	4–0	2001 Copa América
31	19 July 2001	Medellín	4–0	2001 Copa América
32	22 July 2001	Armenia	1–2	2001 Copa América
33	30 January 2002	Pasadena	3–1	2002 CONCACAF Gold Cup
34	30 January 2002	Pasadena	3–1	2002 CONCACAF Gold Cup
35	13 June 2002	Suwon	2–5	2002 FIFA World Cup
36	8 September 2004	San José	1–0	World Cup qualifier
37	9 October 2004	San José	5–0	World Cup qualifier
38	9 October 2004	San José	5–0	World Cup qualifier
39	9 October 2004	San José	5–0	World Cup qualifier
40	13 October 2004	Edmonton	3–1	World Cup qualifier
41	9 February 2005	San José	1–2	World Cup qualifier
42	8 June 2005	San José	3–2	World Cup qualifier
43	8 October 2005	San José	3–0	World Cup qualifier
44	9 June 2006	Munich	2–4	2006 FIFA World Cup
45	9 June 2006	Munich	2–4	2006 FIFA World Cup
