Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1989	Madrid , Spain	Clay	Martín Jaite	3–6, 2–6
Winner	1990	Sanremo , Italy	Clay	Juan Aguilera	6–2, 6–2
Winner	1990	Prague , Czechoslovakia	Clay	Nicklas Kulti	7–6 (7–3) , 7–6 (8–6)
Winner	1991	Madrid , Spain	Clay	Marcelo Filippini	6–2, 6–4
Runner-up	1991	Genova , Italy	Clay	Carl-Uwe Steeb	3–6, 4–6
Runner-up	1991	Hilversum , Netherlands	Clay	Magnus Gustafsson	7–5, 6–7 (2–7) , 6–2, 1–6, 0–6
Runner-up	1991	Athens , Greece	Clay	Sergi Bruguera	5–7, 3–6
Winner	1991	Buzios , Brazil	Clay	Jaime Oncins	1–6, 6–4, 6–0
Runner-up	1992	Hilversum , Netherlands	Clay	Karel Nováček	2–6, 3–6, 6–2, 5–7
Runner-up	1992	Barcelona Olympics , Spain	Clay	Marc Rosset	6–7 (2–7) , 4–6, 6–3, 6–4, 6–8
Winner	1992	Athens , Greece	Clay	Sergi Bruguera	7–5, 3–0, ret.
Winner	1993	Athens , Greece	Clay	Alberto Berasategui	6–4, 3–6, 6–3
