Rank	Nation	Gold	Silver	Bronze	Total
1	Soviet Union	51	58	46	155
2	Russia	49	37	36	122
3	Austria	45	37	37	119
4	Great Britain	27	36	40	103
5	Germany	24	34	33	91
6	France	23	28	25	76
7	East Germany	23	10	18	51
8	Czechoslovakia	16	13	14	43
9	Sweden	11	1	6	18
10	Hungary	10	14	12	36
11	Italy	8	9	6	23
12	Netherlands	6	3	3	12
12	Norway	6	3	3	12
14	Switzerland	4	10	3	17
15	Ukraine	3	7	8	18
16	Finland	2	2	7	11
17	Czech Republic	1	2	2	5
18	United States	1	1	1	3
19	Belgium	1	0	4	5
20	Spain	1	0	0	1
21	Poland	0	3	4	7
22	Bulgaria	0	2	1	3
23	Yugoslavia	0	1	0	1
24	Lithuania	0	0	2	2
25	Georgia	0	0	2	2
