Week	Date	Opponent	Result	Attendance
1	September 16, 1962	St. Louis Cardinals	L 27–21	60,671
2	September 23, 1962	New York Giants	L 29–13	60,671
3	September 30, 1962	Cleveland Browns	W 35–7	60,671
4	October 6, 1962	at Pittsburgh Steelers	L 13–7	23,164
5	October 14, 1962	at Dallas Cowboys	L 41–19	18,645
6	October 21, 1962	Washington Redskins	L 27–21	60,671
7	October 28, 1962	at Minnesota Vikings	L 31–21	30,071
8	November 4, 1962	at Cleveland Browns	T 14–14	63,848
9	November 11, 1962	Green Bay Packers	L 49–0	60,671
10	November 18, 1962	at New York Giants	L 19–14	62,705
11	November 25, 1962	Dallas Cowboys	W 28–14	58,070
12	December 2, 1962	at Washington Redskins	W 37–14	32,229
13	December 9, 1962	Pittsburgh Steelers	L 26–17	60,671
14	December 16, 1962	at St. Louis Cardinals	L 45–35	14,989
