Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	Lotus - Ford	76	1:47:50.2	2
Jackie Stewart	Tyrrell - Ford	76	+ 4.1	4
Peter Revson	McLaren - Ford	76	+ 1:12.5	3
Chris Amon	Matra	75	+ 1 Lap	17
Denny Hulme	McLaren - Ford	75	+ 1 Lap	11
Arturo Merzario	Ferrari	75	+ 1 Lap	9
Ronnie Peterson	March - Ford	74	Engine/Spun off	8
Carlos Reutemann	Brabham - Ford	73	+ 3 Laps	10
Niki Lauda	March - Ford	73	+ 3 Laps	19
Rolf Stommelen	March - Ford	71	+ 5 Laps	25
Jean-Pierre Beltoise	BRM	70	+ 6 Laps	6
Wilson Fittipaldi	Brabham - Ford	69	Suspension	22
Mike Beuttler	March - Ford	69	+ 7 Laps	23
Tim Schenken	Surtees - Ford	64	Suspension	5
François Cevert	Tyrrell - Ford	60	Spun off	12
Dave Walker	Lotus - Ford	59	Suspension	15
Jacky Ickx	Ferrari	49	Oil Pressure	1
Graham Hill	Brabham - Ford	47	Spun off	21
Carlos Pace	March - Ford	39	Differential	13
Jackie Oliver	BRM	36	Suspension	14
Mike Hailwood	Surtees - Ford	31	Gearbox	7
Dave Charlton	Lotus - Ford	21	Gearbox	24
Nanni Galli	Tecno	9	Spun off	18
Henri Pescarolo	Politoys - Ford	7	Accident	26
Peter Gethin	BRM	5	Engine	16
Andrea de Adamich	Surtees - Ford	3	Accident	20
