Place	Player	Country	Score	To par	Money ( S )
1	David Toms	United States	66-65-65-69=265	–15	936,000
2	Phil Mickelson	United States	66-66-66-68=266	–14	562,000
3	Steve Lowery	United States	67-67-66-68=268	–12	354,000
T4	Mark Calcavecchia	United States	71-68-66-65=270	–10	222,500
T4	Shingo Katayama	Japan	67-64-69-70=270	–10	222,500
6	Billy Andrade	United States	68-70-68-66=272	–8	175,000
T7	Jim Furyk	United States	70-64-71-69=274	–6	152,333
T7	Scott Hoch	United States	68-70-69-67=274	–6	152,333
T7	Scott Verplank	United States	69-68-70-67=274	–6	152,333
T10	David Duval	United States	66-68-67-74=275	–5	122,000
T10	Justin Leonard	United States	70-69-67-69=275	–5	122,000
T10	Kirk Triplett	United States	68-70-71-66=275	–5	122,000
