District	Incumbent	Party	First elected	Results	Candidates
New York 3	Peter King	Republican	1992	Re-elected	Peter King (R) 60% Dal Lamagna (D) 40%
New York 4	Carolyn McCarthy	Democratic	1996	Re-elected	Carolyn McCarthy (D) 61% Gregory Becker (R) 39%
New York 5	Gary Ackerman	Democratic	1983	Re-elected	Gary Ackerman (D) 68% Edward Elkowitz (R) 31%
New York 6	Gregory W. Meeks	Democratic	1998	Re-elected	Gregory W. Meeks (D) unopposed
New York 9	Anthony Weiner	Democratic	1998	Re-elected	Anthony Weiner (D) 68% Noach Dear (R) 32%
New York 10	Ed Towns	Democratic	1982	Re-elected	Ed Towns (D) 90% Ernestine Brown (R) 6%
New York 11	Major Owens	Democratic	1982	Re-elected	Major Owens (D) 88% Susan Cleary (R) 7%
New York 12	Nydia Velazquez	Democratic	1992	Re-elected	Nydia Velazquez (D) 86% Rosemarie Markgraf (R) 12%
New York 13	Vito Fossella	Republican	1997	Re-elected	Vito Fossella (R) 65% Katina Johnstone (D) 34%
New York 16	Jose Serrano	Democratic	1990	Re-elected	Jose Serrano (D) 96% Aaron Justice (R) 4%
New York 17	Eliot Engel	Democratic	1988	Re-elected	Eliot Engel (D) 89% Patrick McManus (R) 11%
New York 18	Nita Lowey	Democratic	1988	Re-elected	Nita Lowey (D) 67% John Vonglis (R) 32%
New York 20	Benjamin Gilman	Republican	1972	Re-elected	Benjamin Gilman (R) 58% Paul Feiner (D) 41%
New York 21	Mike McNulty	Democratic	1988	Re-elected	Mike McNulty (D) 74% Thomas Pillsworth (R) 26%
New York 22	John Sweeney	Republican	1998	Re-elected	John Sweeney (R) 69% Kenneth McCallion (D) 31%
New York 24	John McHugh	Republican	1992	Re-elected	John McHugh (R) 75% Neil Tallon (D) 23%
New York 26	Maurice Hinchey	Democratic	1992	Re-elected	Maurice Hinchey (D) 62% Bob Moppert (R) 38%
New York 27	Tom Reynolds	Republican	1998	Re-elected	Tom Reynolds (R) 70% Thomas Pecoraro (D) 30%
New York 29	John LaFalce	Democratic	1974	Re-elected	John LaFalce (D) 61% Brett Sommer (R) 39%
New York 30	Jack Quinn	Republican	1992	Re-elected	Jack Quinn (R) 67% John Fee (D) 33%
