Round	Pick	Player	Position	School/Club Team
1	5	Todd Lyght	Cornerback	Notre Dame
2	31	Roman Phifer	Linebacker	UCLA
4	107	Robert Bailey	Cornerback	Miami (FL)
5	116	Robert Young	Defensive end	Mississippi State
6	143	Neal Fort	Offensive tackle	BYU
7	170	Tyrone Shelton	Running back	William & Mary
8	201	Pat Tyrance	Linebacker	Nebraska
9	228	Jeff Fields	Defensive tackle	Arkansas State
11	281	Terry Crews	Linebacker	Western Michigan
12	311	Jeff Pahukoa	Guard	Washington
12	312	Ernie Thompson	Running back	Indiana
