Name	Country	Reign began	Reign ended	Length
Emperor Taichang	China	28 August 1620	26 September 1620	29 days
Emperor He	China	74 BC	74 BC	27 days
Pope Leo XI	Holy See	1 April 1605	27 April 1605	27 days
Pope Pius III	Holy See	22 September 1503	18 October 1503	27 days
Prince Milan Obrenović II	Serbia	25 June 1839	8 July 1839	26 days
Pope Damasus II	Holy See	17 July 1048	9 August 1048	24 days
Emperor Constantine	Russian Empire	1 December 1825	25 December 1825	24 days
Pharaoh Amenemhet VI	Egypt	c.1780 BC	c.1780 BC	23 days
Pope Marcellus II	Holy See	9 April 1555	1 May 1555	22 days
Emperor Gordian I	Roman Empire	22 March 238	12 April 238	21 days
Emperor Gordian II	Roman Empire	22 March 238	12 April 238	21 days
Pope Sisinnius	Holy See	15 January 708 AD	4 February 708 AD	21 days
Pope Theodore II	Holy See	December 897 AD	December 897 AD	20 days
Emperor Shang	China	8 July 710	25 July 710	18 days
King Anikanga Mahadipada	Polonnaruwa	1209	1209	17 days
Pope Celestine IV	Holy See	25 October 1241	10 November 1241	17 days
Pope Boniface VI	Holy See	April 896 AD	April 896 AD	16 days
Emperor Napoleon II	Emperor of the French	22 June 1815	7 July 1815	16 days
Pope Urban VII	Holy See	15 September 1590	27 September 1590	13 days
King Lodewijk II	Holland	1 July 1810	13 July 1810	12 days
Emperor Puyi	China	1 July 1917	12 July 1917	12 days
Queen Jane	England and Ireland	10 July 1553	19 July 1553	9 days
Emir Saad Al-Abdullah Al-Salim Al-Sabah	Kuwait	15 January 2006	24 January 2006	9 days
King Henry V	King of France	2 August 1830	9 August 1830	7 days
King Thong Lan	Ayutthaya Kingdom	1370	1370	7 days
Pharaoh Hor I	Egypt	c.1775 BC	c.1775 BC	7 days
King Sigeric	Spain	415	415	7 days
King Zimri	Israel	c. 885 BC or c. 876 BC	c. 885 BC or c. 876 BC	7 days
