School	Conference	Games	Wins	Losses	Winning Pct.
UCLA	Pac-12	6	5	1	.833
Michigan	Big Ten	32	25	7	.781
Air Force	MWC	4	3	1	.750
Purdue	Big Ten	27	20	7	.741
Indiana	Big Ten	11	8	3	.727
North Carolina	ACC	18	13	5	.722
Stanford	Pac-12	18	13	5	.722
Ohio State	Big Ten	25	18	7	.720
Xavier	A-10	21	15	6	.714
Penn State	Big Ten	31	22	9	.710
Minnesota	Big Ten	41	29	13	.707
Notre Dame	Big East	37	26	11	.703
South Carolina	SEC	30	21	9	.700
Virginia Tech	ACC	33	23	10	.697
Baylor	Big 12	13	9	4	.692
Maryland	ACC	22	15	7	.682
California	Pac-12	18	12	6	.667
Wake Forest	ACC	15	10	5	.667
CCNY	D-III	9	6	3	.667
Texas	Big 12	9	6	3	.667
Washington & Jefferson	D-III	3	2	1	.667
Dayton	A-10	62	41	21	.661
Kentucky	SEC	20	13	7	.650
Vanderbilt	SEC	28	18	10	.643
Siena	MAAC	14	9	5	.643
Illinois	Big Ten	11	7	4	.636
Princeton	Ivy	11	7	4	.636
St. John's	Big East	72	45	27	.625
BYU	WCC	24	15	9	.625
Providence	Big East	52	32	20	.615
Fresno State	WAC	23	14	9	.609
Virginia	ACC	28	17	11	.607
Alabama	SEC	38	23	15	.605
Marquette	Big East	35	21	14	.600
Oklahoma	Big 12	15	9	6	.600
TCU	C-USA	15	9	6	.600
Loyola-Chicago	Horizon	10	6	4	.600
San Francisco	WCC	10	6	4	.600
Texas Tech	Big 12	10	6	4	.600
Kansas	Big 12	5	3	2	.600
Tennessee Tech	OVC	5	3	2	.600
Bradley	MVC	44	26	18	.591
Nebraska	Big Ten	39	23	16	.590
Boston College	ACC	29	17	12	.586
Villanova	Big East	41	24	17	.585
West Virginia	Big East	36	21	15	.583
Washington State	Pac-12	12	7	5	.583
Colorado	Pac-12	19	11	8	.579
Tulsa	C-USA	19	11	8	.579
Connecticut	Big East	26	15	11	.577
Temple	A-10	33	19	14	.576
Arkansas	SEC	7	4	3	.571
Iowa State	Big 12	7	4	3	.571
Middle Tennessee	Sun Belt	7	4	3	.571
Army	Patriot	23	13	10	.565
Iowa	Big Ten	16	9	7	.563
UAB	C-USA	25	14	11	.560
Florida State	ACC	18	10	8	.556
Hawaii	WAC	18	10	8	.556
N.C. State	ACC	29	16	13	.552
Saint Louis	A-10	35	19	16	.543
Mississippi	SEC	24	13	11	.542
NYU	D-III	24	13	11	.542
Oregon	Pac-12	24	13	11	.542
Georgetown	Big East	26	14	12	.538
Tulane	C-USA	13	7	6	.538
Rutgers	Big East	30	16	14	.533
Georgia Tech	ACC	15	8	7	.533
Louisiana Tech	WAC	15	8	7	.533
Southern Miss	C-USA	15	8	7	.533
Memphis	C-USA	32	17	15	.531
Southern Illinois	MVC	17	9	8	.529
Missouri State	MVC	19	10	9	.526
Utah	Pac-12	21	11	10	.524
Clemson	ACC	29	15	14	.517
St. Bonaventure	A-10	33	17	16	.515
DePaul	Big East	34	17	17	.500
St. Joseph's	A-10	32	16	16	.500
Louisville	Big East	28	14	14	.500
Tennessee	SEC	26	13	13	.500
Florida	SEC	22	11	11	.500
Georgia	SEC	22	11	11	.500
Holy Cross	Patriot	22	11	11	.500
Louisiana-Lafayette	Sun Belt	12	6	6	.500
Michigan State	Big Ten	12	6	6	.500
Texas A&M	Big 12	12	6	6	.500
Nevada	WAC	10	5	5	.500
San Diego State	MWC	10	5	5	.500
Arkansas State	Sun Belt	8	4	4	.500
College of Charleston	SoCon	8	4	4	.500
St. Mary's	WCC	4	2	2	.500
Bucknell	Patriot	2	1	1	.500
Buffalo	MAC	2	1	1	.500
Loyola Marymount	WCC	2	1	1	.500
Mercer	A-Sun	2	1	1	.500
Northern Iowa	MVC	2	1	1	.500
UMES	MEAC	2	1	1	.500
Yale	Ivy	2	1	1	.500
Massachusetts	A-10	27	13	14	.481
New Mexico	MWC	38	18	20	.474
Long Island	NEC	15	7	8	.467
Mississippi State	SEC	15	7	8	.467
Wyoming	MWC	15	7	8	.467
Rhode Island	A-10	28	13	15	.464
Colorado State	MWC	13	6	7	.462
Jacksonville	A-Sun	13	6	7	.462
Richmond	A-10	13	6	7	.462
Washington	Pac-12	13	6	7	.462
Syracuse	Big East	22	10	12	.455
Canisius	MAAC	11	5	6	.455
Duke	ACC	11	5	6	.455
La Salle	A-10	20	9	11	.450
Duquesne	A-10	36	16	20	.444
Cincinnati	Big East	18	8	10	.444
Old Dominion	CAA	18	8	10	.444
Ohio	MAC	9	4	5	.444
Kansas State	Big 12	14	6	8	.429
Pittsburgh	Big East	14	6	8	.429
Arkansas-Little Rock	Sun Belt	7	3	4	.429
Ball State	MAC	7	3	4	.429
Boise State	MWC	7	3	4	.429
Chattanooga	SoCon	7	3	4	.429
George Mason	CAA	7	3	4	.429
Oregon State	Pac-12	7	3	4	.429
St. Francis (NY)	NEC	7	3	4	.429
St. Francis (PA)	NEC	7	3	4	.429
Wisconsin	Big Ten	7	3	4	.429
Illinois State	MVC	21	9	12	.429
UNLV	MWC	19	8	11	.421
Wichita State	MVC	19	8	11	.421
Northwestern	Big Ten	12	5	7	.417
Auburn	SEC	10	4	6	.400
New Orleans	Independent	10	4	6	.400
Cal State Fullerton	Big West	5	2	3	.400
Gonzaga	WCC	5	2	3	.400
Western Michigan	MAC	5	2	3	.400
Niagara	MAAC	23	9	14	.391
Western Kentucky	Sun Belt	23	9	14	.391
Miami (FL)	ACC	18	7	11	.389
Butler	A-10	13	5	8	.385
Detroit	Horizon	13	5	8	.385
Toledo	MAC	13	5	8	.385
Cleveland State	Horizon	8	3	5	.375
Davidson	SoCon	8	3	5	.375
Oklahoma State	Big 12	19	7	12	.368
Charlotte	A-10	11	4	7	.364
South Florida	Big East	11	4	7	.364
Houston	C-USA	14	5	9	.357
Kent State	MAC	14	5	9	.357
UTEP	C-USA	14	5	9	.357
Creighton	MVC	15	5	10	.333
Pepperdine	WCC	9	3	6	.333
Hofstra	CAA	6	2	4	.333
Lamar	Southland	6	2	4	.333
New Mexico State	WAC	6	2	4	.333
Santa Clara	WCC	6	2	4	.333
UC Irvine	Big West	6	2	4	.333
Southern California	Pac-12	6	2	4	.333
Alcorn State	SWAC	3	1	2	.333
Austin Peay	OVC	3	1	2	.333
Coppin State	MEAC	3	1	2	.333
Delaware State	MEAC	3	1	2	.333
Evansville	MVC	3	1	2	.333
Green Bay	Horizon	3	1	2	.333
Jackson State	SWAC	3	1	2	.333
Marist	MAAC	3	1	2	.333
Milwaukee	Horizon	3	1	2	.333
Montana State	Big Sky	3	1	2	.333
Robert Morris	NEC	3	1	2	.333
Arizona State	Pac-12	18	6	12	.333
Seton Hall	Big East	26	8	18	.308
Bowling Green	MAC	20	6	14	.300
LSU	SEC	10	3	7	.300
Manhattan	MAAC	27	8	19	.296
Akron	MAC	7	2	5	.286
Drexel	CAA	7	2	5	.286
VCU	A-10	7	2	5	.286
Saint Peter's	MAAC	18	5	13	.278
Fairfield	MAAC	8	2	6	.250
Marshall	C-USA	8	2	6	.250
Miami (OH)	MAC	8	2	6	.250
Murray State	OVC	8	2	6	.250
Denver	Sun Belt	4	1	3	.250
Drake	MVC	4	1	3	.250
Indiana State	MVC	4	1	3	.250
McNeese State	Southland	4	1	3	.250
South Alabama	Sun Belt	4	1	3	.250
Stephen F. Austin	Southland	4	1	3	.250
Weber State	Big Sky	4	1	3	.250
Fordham	A-10	22	5	17	.227
Long Beach State	Big West	9	2	7	.222
Oral Roberts	Southland	10	2	8	.200
Iona	MAAC	5	1	4	.200
Muhlenberg	D-III	5	1	4	.200
Utah State	WAC	11	2	9	.182
Lafayette	Patriot	6	1	5	.167
Rice	C-USA	6	1	5	.167
Missouri	Big 12	8	1	7	.125
Boston University	America East	5	0	5	.000
James Madison	CAA	5	0	5	.000
UC Santa Barbara	Big West	5	0	5	.000
Arizona	Pac-12	4	0	4	.000
George Washington	A-10	4	0	4	.000
American	Patriot	3	0	3	.000
Georgia Southern	SoCon	3	0	3	.000
Montana	Big Sky	3	0	3	.000
Northeastern	CAA	3	0	3	.000
Northern Arizona	Big Sky	3	0	3	.000
Stony Brook	America East	3	0	3	.000
West Texas A&M	D-II	3	0	3	.000
Alabama State	SWAC	2	0	2	.000
Coastal Carolina	Big South	2	0	2	.000
East Tennessee State	A-Sun	2	0	2	.000
Fairleigh Dickinson	NEC	2	0	2	.000
Louisiana-Monroe	Sun Belt	2	0	2	.000
North Carolina A&T	MEAC	2	0	2	.000
Oklahoma City	NAIA	2	0	2	.000
Seattle	D-II	2	0	2	.000
SMU	C-USA	2	0	2	.000
Texas-Arlington	WAC	2	0	2	.000
Troy	Sun Belt	2	0	2	.000
UNC Wilmington	CAA	2	0	2	.000
Valparaiso	Horizon	2	0	2	.000
Vermont	America East	2	0	2	.000
Wagner	NEC	2	0	2	.000
William & Mary	CAA	2	0	2	.000
Appalachian State	SoCon	1	0	1	.000
Belmont	A-Sun	1	0	1	.000
Beloit	D-III	1	0	1	.000
Bethune-Cookman	MEAC	1	0	1	.000
Brown	Ivy	1	0	1	.000
Central Michigan	MAC	1	0	1	.000
Charleston Southern	Big South	1	0	1	.000
Delaware	CAA	1	0	1	.000
Eastern Michigan	MAC	1	0	1	.000
Eastern Washington	Big Sky	1	0	1	.000
Florida Atlantic	Sun Belt	1	0	1	.000
Furman	SoCon	1	0	1	.000
Georgia State	CAA	1	0	1	.000
Grambling	SWAC	1	0	1	.000
Harvard	Ivy	1	0	1	.000
Idaho	WAC	1	0	1	.000
Lawrence Tech	N/A	1	0	1	.000
Lipscomb	A-Sun	1	0	1	.000
Mississippi Valley State	SWAC	1	0	1	.000
Morgan State	MEAC	1	0	1	.000
